Project ID,Project Name,Project Start Date,Project Completion Date,Extended Affordability Only,Prevailing Wage Status,Planned Tax Benefit,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Senior Units
58479,SOUNDVIEW HOMES - PHASE III,2020-09-30T00:00:00.000,,No,Non Prevailing Wage,Article XI,0,0,0,72,0,0,0,72,72,72,0
68231,MMN1902 - LEMLE WEST 117 STREET,2020-09-30T00:00:00.000,,No,Non Prevailing Wage,Article XI,0,17,23,0,0,1,41,0,41,41,0
70274,51-55 VERONICA PLACE,2020-09-30T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,14,0
64719,LENOX COURT HDFC.GHPP.FY21,2020-09-29T00:00:00.000,,No,Non Prevailing Wage,,0,2,27,0,0,1,3,27,30,30,0
70272,2490 3RD AVENUE,2020-09-29T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,9,0,9,0,9,28,0
70273,SEA BREEZE TOWER,2020-09-29T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,34,0,34,0,34,112,0
66807,EAST BROOKLYN NCP,2020-09-25T00:00:00.000,,No,Non Prevailing Wage,,6,12,23,0,0,1,42,0,42,42,0
70249,165 STOCKHOLM STREET,2020-09-25T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,2,0,2,0,2,6,0
70268,141 WOODBINE STREET,2020-09-24T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
70269,1520 FULTON STREET,2020-09-24T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,15,0,15,0,15,49,0
70271,29-19 NEWTOWN AVENUE,2020-09-24T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,14,0,14,0,14,44,0
70265,1035 CORTELYOU ROAD,2020-09-23T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
70266,168 EAST 100TH STREET,2020-09-23T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,5,0,5,0,5,16,0
70267,312 DEVOE STREET,2020-09-23T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,7,0,7,0,7,22,0
70305,CONFIDENTIAL,2020-09-23T00:00:00.000,2020-09-23T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70263,83-67 116TH STREET,2020-09-22T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,14,0,14,0,14,48,0
70264,857 HORNADAY PLACE,2020-09-22T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,5,0,5,0,5,15,0
70261,360 VAN DUZER STREET,2020-09-21T00:00:00.000,2020-09-21T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
70262,50 CLARKSON AVENUE,2020-09-21T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,28,0,28,0,28,93,0
70260,380 GROVE STREET,2020-09-18T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,12,0,12,0,12,39,0
70308,CONFIDENTIAL,2020-09-18T00:00:00.000,2020-09-18T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
68781,WELLLIFE. 80-97 CYPRESS AVENUE,2020-09-17T00:00:00.000,,No,Non Prevailing Wage,420c,40,0,26,0,0,0,66,0,66,66,0
70258,482 SENECA AVENUE,2020-09-17T00:00:00.000,2020-09-17T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,7,0,7,0,7,20,0
70259,58 GREENPOINT AVENUE,2020-09-17T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,5,0,5,0,5,14,0
70256,222 JOHNSON AVENUE,2020-09-16T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,24,0,11,0,35,0,35,116,0
70257,61 SCHAEFER STREET,2020-09-16T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
70253,1801 BROADWAY,2020-09-15T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,13,0,13,0,13,41,0
70254,410 EAST 28 STREET,2020-09-15T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
70255,THE CROWN,2020-09-15T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,9,0,9,0,9,27,0
70252,65 WOODBINE STREET,2020-09-14T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
70251,48 JEFFERSON STREET,2020-09-10T00:00:00.000,2020-09-10T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
70250,74-10 BROADWAY,2020-09-08T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
70248,1626 & 1630 BROOKLYN AVENUE,2020-09-04T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,6,0,6,0,6,16,0
70247,1259 51ST STREET,2020-09-03T00:00:00.000,2020-09-03T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,7,0
70246,782 NEW YORK AVENUE,2020-09-01T00:00:00.000,2020-09-01T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,12,0,12,0,12,39,0
70244,65 GRAHAM AVENUE,2020-08-31T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,8,0
70245,984 MADISON STREET,2020-08-31T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,18,0
70190,CONFIDENTIAL,2020-08-27T00:00:00.000,2020-08-27T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70243,1609 VOORHIES AVENUE,2020-08-27T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
70241,42 EAST 132ND STREET,2020-08-25T00:00:00.000,2020-08-25T00:00:00.000,No,Non Prevailing Wage,421a,0,0,3,0,0,0,3,0,3,12,0
70242,535 GRAND STREET,2020-08-25T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
70185,CONFIDENTIAL,2020-08-21T00:00:00.000,2020-08-21T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
67720,RISEBORO. 37 HILLSIDE AVENUE,2020-08-20T00:00:00.000,,No,Prevailing Wage,420c,163,0,0,0,0,1,164,0,164,164,163
70240,810 FULTON STREET APARTMENTS PHASE II,2020-08-20T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,37,0,37,0,37,363,0
64383,1921 ATLANTIC AVE,2020-08-19T00:00:00.000,,No,Non Prevailing Wage,420c,60,58,117,0,0,0,235,0,235,236,0
70239,1214 GREENE AVENUE,2020-08-19T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
68111,29 FEATHERBED LANE,2020-08-18T00:00:00.000,,No,Non Prevailing Wage,421a,0,14,26,0,0,0,40,0,40,160,0
70238,ONE BLUE SLIP,2020-08-18T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,108,0,108,0,108,359,0
70237,THE ARCHES,2020-08-14T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,129,0,129,0,129,240,0
70236,1337 GATES AVENUE,2020-08-13T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,5,0,5,0,5,15,0
70235,570 NOSTRAND AVENUE,2020-08-12T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,8,0,8,0,8,25,0
63799,VICTORY COMMONS,2020-08-11T00:00:00.000,,No,Non Prevailing Wage,420c,18,17,44,15,0,1,95,0,95,95,0
70568,31 AINSLIE STREET APARTMENTS,2020-08-04T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,15,0,0,0,15,0,15,15,0
68191,WEST 144 CLUSTER LLC.YR15.FY21,2020-08-03T00:00:00.000,,No,Non Prevailing Wage,420c,61,83,8,0,0,2,154,0,154,154,0
63933,SUS. 461 ALABAMA AVENUE. MWBE SITE A.,2020-07-31T00:00:00.000,,No,Non Prevailing Wage,420c,43,11,16,0,0,1,71,0,71,71,0
70539,NUL 125TH STREET,2020-07-30T00:00:00.000,,No,Non Prevailing Wage,,18,68,84,0,0,1,171,0,171,171,0
68444,GRACE EPISCOPAL SENIOR,2020-07-15T00:00:00.000,,No,Non Prevailing Wage,Article XI,78,1,0,0,0,1,80,0,80,80,79
70119,CONFIDENTIAL,2020-07-10T00:00:00.000,2020-07-10T00:00:00.000,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
69286,BELMONT DANIEL.HPO.FY20,2020-07-02T00:00:00.000,,No,Non Prevailing Wage,Article XI,0,8,100,3,0,1,112,0,112,112,18
65503,LIC RAMPS,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,17,47,92,0,156,0,156,512,0
70016,1119 BROADWAY,2020-06-30T00:00:00.000,2020-06-30T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
70017,639 FOSTER AVENUE,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,7,0,7,0,7,22,0
70018,THE STRAND,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,40,0,40,0,40,132,0
70021,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,2,0,0,0,0,2,2,2,0
70022,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70026,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,1,0,0,0,0,0,0,1,1,1,0
70027,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,2,0,0,0,0,2,2,2,0
70029,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70030,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,2,0,0,0,0,0,2,2,2,0
70031,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,0,1,0,0,0,1,1,1,0
70033,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,0,2,0,0,0,2,2,2,0
70034,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70036,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,1,0,0,0,0,0,0,1,1,1,0
70038,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,2,0,0,0,0,0,0,2,2,2,0
70040,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70041,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,0,2,0,0,0,2,2,2,0
70043,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,1,0,0,0,0,1,1,1,0
70047,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,1,0,0,0,0,0,1,1,1,0
70055,CONFIDENTIAL,2020-06-30T00:00:00.000,,No,Non Prevailing Wage,,0,0,2,0,0,0,0,2,2,2,0
70006,104 LINDEN BOULEVARD,2020-06-29T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,5,0,5,0,5,10,0
70007,2232 KIMBALL STREET,2020-06-29T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,2,0,2,0,2,6,0
70008,523 WEST 173RD STREET APARTMENTS,2020-06-29T00:00:00.000,2020-06-29T00:00:00.000,No,Non Prevailing Wage,421a,0,0,2,0,0,0,2,0,2,8,0
70004,41-53 77TH STREET,2020-06-28T00:00:00.000,2020-06-28T00:00:00.000,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,7,0
70002,23-71 31ST STREET,2020-06-27T00:00:00.000,,No,Non Prevailing Wage,421a,0,0,0,0,3,0,3,0,3,10,0
