Project ID,Project Name,Program Group,Project Start Date,Project Completion Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
64886,ROCKAWAY VILLAGE PHASE 3,Multifamily Finance Program,2020-12-30T00:00:00.000,,996947,1721,REDFERN AVENUE,Queens,11691,4155370053,,QN-14,31,103202,QN15,40.606694,-73.753145,40.60639,-73.753153,,New Construction,No,Non Prevailing Wage,89,88,176,0,0,1,42,102,163,47,0,0,0,0,354,0,354,354
67746,WILLIAM R ANDERSON HDFC.GHPP.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,5607,1638,AMSTERDAM AVENUE,Manhattan,10031,1020720036,1061769,MN-09,7,225,MN04,40.822599,-73.949543,40.82272,-73.949847,,Preservation,No,Non Prevailing Wage,4,5,0,0,0,0,0,0,0,9,0,0,0,0,9,0,9,9
67746,WILLIAM R ANDERSON HDFC.GHPP.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,22537,93,HAMILTON PLACE,Manhattan,10031,1020730025,1061793,MN-09,7,225,MN04,40.823225,-73.950305,40.82319,-73.949915,,Preservation,No,Non Prevailing Wage,3,13,6,0,0,1,0,6,5,11,1,0,0,0,23,0,23,23
69020,RECLAIM HDFC.YR15.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,60070,2100,CROTONA PARKWAY,Bronx,10460,2031190029,2013101,BX-06,17,363,BX17,40.845931,-73.884026,40.84593,-73.883708,,Preservation,Yes,Non Prevailing Wage,0,34,7,0,0,1,1,21,15,5,0,0,0,0,42,0,42,42
69020,RECLAIM HDFC.YR15.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,66235,503,EAST 180 STREET,Bronx,10457,2030470067,2011510,BX-06,15,37504,BX17,40.851016,-73.89464,40.85115,-73.894413,,Preservation,Yes,Non Prevailing Wage,0,14,5,0,0,1,2,9,9,0,0,0,0,0,20,0,20,20
69020,RECLAIM HDFC.YR15.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,66477,308,EAST 183 STREET,Bronx,10458,2031450021,2013406,BX-05,15,38301,BX40,40.856665,-73.897777,40.85649,-73.897874,,Preservation,Yes,Non Prevailing Wage,0,8,0,0,0,0,0,3,5,0,0,0,0,0,8,0,8,8
69020,RECLAIM HDFC.YR15.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,66480,314,EAST 183 STREET,Bronx,10458,2031450024,2013408,BX-05,15,38301,BX40,40.856596,-73.897578,40.85642,-73.897661,,Preservation,Yes,Non Prevailing Wage,0,7,1,0,0,0,0,3,5,0,0,0,0,0,8,0,8,8
69020,RECLAIM HDFC.YR15.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,81461,2042,GRAND AVENUE,Bronx,10453,2031930001,2014154,BX-05,14,251,BX36,40.854174,-73.909225,40.85413,-73.90895,,Preservation,Yes,Non Prevailing Wage,0,42,7,0,0,1,1,7,26,16,0,0,0,0,50,0,50,50
69020,RECLAIM HDFC.YR15.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,110103,2125,SOUTHERN BOULEVARD,Bronx,10460,2031110010,2012996,BX-06,15,36501,BX17,40.846666,-73.883902,40.8467,-73.884209,,Preservation,Yes,Non Prevailing Wage,1,25,5,0,0,1,2,16,9,5,0,0,0,0,32,0,32,32
69020,RECLAIM HDFC.YR15.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,116849,1821,DR M L KING JR BOULEVARD,Bronx,10453,2028790117,2009097,BX-05,14,24501,BX36,40.851288,-73.91464,40.8513,-73.915088,,Preservation,Yes,Non Prevailing Wage,0,22,9,0,0,1,1,17,5,9,0,0,0,0,32,0,32,32
69020,RECLAIM HDFC.YR15.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,116884,1982,DR M L KING JR BOULEVARD,Bronx,10453,2028680129,2008555,BX-05,14,243,BX36,40.854483,-73.911625,40.85454,-73.911093,,Preservation,Yes,Non Prevailing Wage,0,17,3,0,0,1,0,1,15,5,0,0,0,0,21,0,21,21
69020,RECLAIM HDFC.YR15.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,117050,2242,VALENTINE AVENUE,Bronx,10457,2031450012,2013404,BX-05,15,38301,BX40,40.856171,-73.898428,40.85609,-73.898179,,Preservation,Yes,Non Prevailing Wage,0,7,0,0,0,1,0,3,5,0,0,0,0,0,8,0,8,8
69020,RECLAIM HDFC.YR15.FY21,Multifamily Finance Program,2020-12-30T00:00:00.000,,806990,2317,TIEBOUT AVENUE,Bronx,10458,2031460063,2013443,BX-05,15,38301,BX40,40.857057,-73.89697,40.85727,-73.897168,,Preservation,Yes,Non Prevailing Wage,2,40,9,0,0,1,0,28,24,0,0,0,0,0,52,0,52,52
63772,BRONX POINT A,Multifamily Finance Program,2020-12-29T00:00:00.000,,975365,65,EAST 149 STREET,Bronx,10451,2023560002,,BX-04,8,63,BX63,40.819422,-73.931333,40.82018,-73.931639,,New Construction,No,Non Prevailing Wage,163,108,162,108,0,1,135,192,122,93,0,0,0,0,542,0,542,542
65499,29 WEST STREET,Multifamily Incentives Program,2020-12-29T00:00:00.000,,996955,29,WEST STREET,Brooklyn,11222,,,BK-01,33,561,BK76,40.727124,-73.958826,,,,New Construction,No,Non Prevailing Wage,0,0,215,0,0,0,53,54,108,0,0,0,0,0,215,0,215,216
66751,TWIN PARKS TERRACE,Multifamily Finance Program,2020-12-29T00:00:00.000,,996389,373,EAST 183 STREET,Bronx,10458,2031430234,,BX-05,15,38302,BX40,40.856312,-73.895753,40.85649,-73.895817,,New Construction,No,Non Prevailing Wage,46,48,87,0,0,1,41,77,57,7,0,0,0,0,182,0,182,182
66940,340 SOUTH THIRD STREET HDFC.GHPP.FY21,Multifamily Finance Program,2020-12-28T00:00:00.000,,372153,338,SOUTH 3 STREET,Brooklyn,11211,3024370011,3063350,BK-01,34,527,BK73,40.709289,-73.953719,40.7091,-73.95382,,Preservation,No,Non Prevailing Wage,31,10,0,0,0,0,0,21,13,7,0,0,0,0,41,0,41,41
70534,2317 CAMBRELEND AVENUE APARTMENTS,Multifamily Incentives Program,2020-12-24T00:00:00.000,,996890,2317,CAMBRELENG AVENUE,Bronx,10458,2030880039,,BX-06,15,391,BX06,40.853182,-73.885925,40.85303,-73.886276,,New Construction,No,Non Prevailing Wage,0,0,0,25,0,0,8,14,3,0,0,0,0,0,25,0,25,50
69230,55 SUFFOLK STREET,Multifamily Incentives Program,2020-12-23T00:00:00.000,,994593,55,SUFFOLK STREET,Manhattan,10002,1003460001,,MN-03,1,1402,MN28,40.71695,-73.987158,40.71671,-73.987915,,New Construction,No,Non Prevailing Wage,0,74,0,20,0,0,31,42,20,1,0,0,0,0,94,0,94,378
67357,993-995 UNION AVENUE CLUSTER,Multifamily Finance Program,2020-12-22T00:00:00.000,,92365,1042,LONGFELLOW AVENUE,Bronx,10459,2027560071,2006263,BX-02,17,119,BX27,40.824416,-73.887695,40.82449,-73.887424,,Preservation,No,Non Prevailing Wage,0,0,0,4,0,0,0,2,1,1,0,0,0,0,0,4,4,4
67357,993-995 UNION AVENUE CLUSTER,Multifamily Finance Program,2020-12-22T00:00:00.000,,116493,774,UNION AVENUE,Bronx,10455,2026760036,2004986,BX-01,17,79,BX34,40.818266,-73.903519,40.81821,-73.903211,,Preservation,No,Non Prevailing Wage,0,0,0,25,0,1,0,1,17,8,0,0,0,0,1,25,26,26
67357,993-995 UNION AVENUE CLUSTER,Multifamily Finance Program,2020-12-22T00:00:00.000,,116557,993,UNION AVENUE,Bronx,10459,2026690041,2004845,BX-03,17,133,BX35,40.823778,-73.90144,40.82365,-73.901906,,Preservation,No,Non Prevailing Wage,0,0,0,20,0,1,0,1,2,10,8,0,0,0,1,20,21,21
67357,993-995 UNION AVENUE CLUSTER,Multifamily Finance Program,2020-12-22T00:00:00.000,,116558,995,UNION AVENUE,Bronx,10459,2026690040,2004844,BX-03,17,133,BX35,40.823814,-73.901426,40.82377,-73.901856,,Preservation,No,Non Prevailing Wage,0,0,0,20,0,0,0,0,3,10,7,0,0,0,0,20,20,20
70077,THESSALONICA COURT APARTMENTS,Multifamily Finance Program,2020-12-22T00:00:00.000,,110467,350,ST ANNS AVENUE,Bronx,10454,2025560002,2003686,BX-01,8,33,BX39,40.809478,-73.915752,40.80942,-73.915282,,Preservation,Yes,Non Prevailing Wage,158,22,10,0,0,1,0,54,106,31,0,0,0,0,191,0,191,191
70533,53-08 102 STREET,Multifamily Incentives Program,2020-12-22T00:00:00.000,,988169,53-08,102 STREET,Queens,11368,4019380016,,QN-04,21,44301,QN25,40.741219,-73.859214,40.74101,-73.859359,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,7
65304,LINDEN TERRACE BUILDING 2,Multifamily Finance Program,2020-12-17T00:00:00.000,,989116,573,EMERALD STREET,Brooklyn,11208,,,BK-05,42,1220,BK82,40.668754,-73.858798,,,,New Construction,No,Non Prevailing Wage,44,36,79,0,0,1,38,69,40,13,0,0,0,0,160,0,160,160
66722,CALVARY BAPTIST. HUDMF. FY20,Multifamily Finance Program,2020-12-17T00:00:00.000,,643979,160-30,CLAUDE AVENUE,Queens,11433,4121820080,4264016,QN-12,28,264,QN01,40.690561,-73.788544,40.69073,-73.787818,,Preservation,No,Non Prevailing Wage,95,4,0,0,0,1,25,74,1,0,0,0,0,0,100,0,100,100
66879,COMPASS 6,Multifamily Finance Program,2020-12-17T00:00:00.000,,989183,1923,WEST FARMS ROAD,Bronx,10460,2030160060,,BX-06,17,359,BX17,40.83877,-73.880999,40.83911,-73.881107,,New Construction,No,Non Prevailing Wage,71,60,129,0,0,1,65,113,56,27,0,0,0,0,261,0,261,261
67599,CONFIDENTIAL,Multifamily Finance Program,2020-12-17T00:00:00.000,,,----,----,Bronx,,,,BX-03,17,,,,,,,,New Construction,No,Non Prevailing Wage,111,18,41,0,0,1,51,53,56,11,0,0,0,0,171,0,171,171
68125,CUCS. 711 EAST 211TH ST AND 718 EAST 212TH ST.,Multifamily Finance Program,2020-12-17T00:00:00.000,,996758,718,EAST 212 STREET,Bronx,10467,2046570071,,BX-12,12,380,BX44,40.878308,-73.864804,40.87811,-73.86483,,New Construction,No,Non Prevailing Wage,45,15,27,0,0,0,15,23,22,27,0,0,0,0,87,0,87,87
68125,CUCS. 711 EAST 211TH ST AND 718 EAST 212TH ST.,Multifamily Finance Program,2020-12-17T00:00:00.000,,996771,713,EAST 211 STREET,Bronx,10467,2046570042,,BX-12,12,380,BX44,40.877719,-73.865239,40.87787,-73.865047,,New Construction,No,Non Prevailing Wage,48,3,31,0,0,1,15,32,36,0,0,0,0,0,83,0,83,83
68132,DOUGLASTON. 2856 WEBSTER AVENUE,Multifamily Finance Program,2020-12-17T00:00:00.000,,996730,2856,WEBSTER AVENUE,Bronx,10458,2032730118,,BX-07,15,397,BX06,40.866723,-73.884546,40.86645,-73.884236,,New Construction,No,Prevailing Wage,187,0,0,0,0,1,151,36,1,0,0,0,0,0,188,0,188,188
68160,O+O. 1611 & 1701 PURDY STREET. PARKCHESTER GARDENS,Multifamily Finance Program,2020-12-17T00:00:00.000,,996485,1701,PURDY STREET,Bronx,10462,2039430199,,BX-09,18,21002,BX46,40.839853,-73.853913,40.83962,-73.854301,,New Construction,No,Prevailing Wage,220,0,0,0,0,1,126,94,1,0,0,0,0,0,221,0,221,221
68741,CAMBA. 261 EAST 202 ST & 270 EAST 203 ST,Multifamily Finance Program,2020-12-17T00:00:00.000,,996280,270,EAST 203 STREET,Bronx,10458,2033080059,,BX-07,11,413,BX05,40.873342,-73.88405,40.87312,-73.884011,,New Construction,No,Non Prevailing Wage,113,32,14,0,0,1,38,65,41,16,0,0,0,0,160,0,160,160
68741,CAMBA. 261 EAST 202 ST & 270 EAST 203 ST,Multifamily Finance Program,2020-12-17T00:00:00.000,,996281,261,EAST 202 STREET,Bronx,10458,2033080092,,BX-07,11,413,BX05,40.872791,-73.884688,40.87293,-73.884442,,New Construction,No,Non Prevailing Wage,113,32,17,0,0,1,42,64,41,16,0,0,0,0,163,0,163,163
70531,2001 ARTHUR AVENUE APARTMENTS,Multifamily Incentives Program,2020-12-17T00:00:00.000,,46149,2001,ARTHUR AVENUE,Bronx,10457,2030680033,,BX-06,17,37504,BX17,40.847394,-73.892799,40.84762,-73.892951,,New Construction,No,Non Prevailing Wage,0,0,0,0,14,0,0,8,6,0,0,0,0,0,14,0,14,45
70532,21-59 44TH DRIVE,Multifamily Incentives Program,2020-12-17T00:00:00.000,,991583,21-59,44 DRIVE,Queens,11101,4004380001,,QN-02,26,19,QN31,40.748034,-73.946922,40.74796,-73.945179,,New Construction,No,Non Prevailing Wage,0,0,0,0,6,0,0,3,3,0,0,0,0,0,6,0,6,20
70489,CONFIDENTIAL,Homeowner Assistance Program,2020-12-16T00:00:00.000,2020-12-16T00:00:00.000,,----,----,Queens,,,,QN-06,29,,,,,,,2020-12-16T00:00:00.000,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
70490,CONFIDENTIAL,Homeowner Assistance Program,2020-12-16T00:00:00.000,2020-12-16T00:00:00.000,,----,----,Bronx,,,,BX-07,11,,,,,,,2020-12-16T00:00:00.000,New Construction,No,Non Prevailing Wage,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
70527,2633 OCEAN AVENUE APARTMENTS,Multifamily Incentives Program,2020-12-16T00:00:00.000,,984094,2633,OCEAN AVENUE,Brooklyn,11229,3073810001,,BK-15,48,59401,BK17,40.597167,-73.950977,40.59706,-73.950596,,New Construction,No,Non Prevailing Wage,0,0,0,0,18,0,8,4,6,0,0,0,0,0,18,0,18,60
70529,629 EAST 222ND STREET APARTMENTS,Multifamily Incentives Program,2020-12-16T00:00:00.000,,996889,629,EAST 222 STREET,Bronx,10467,2048240041,,BX-12,12,394,BX44,40.886399,-73.863818,40.88671,-73.863991,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,8
68733,OAK HALL.HRP.FY21,Multifamily Finance Program,2020-12-14T00:00:00.000,,216940,105,CARLTON AVENUE,Brooklyn,11205,3020440013,3257033,BK-02,35,18501,BK68,40.694581,-73.973188,40.69461,-73.972813,,Preservation,No,Non Prevailing Wage,34,31,9,0,0,0,74,0,0,0,0,0,0,0,74,0,74,74
70525,1225 42ND STREET,Multifamily Incentives Program,2020-12-14T00:00:00.000,,989703,1225,42 STREET,Brooklyn,11219,3055930060,,BK-12,39,224,BK88,40.639855,-73.989529,40.63995,-73.989244,,New Construction,No,Non Prevailing Wage,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,6
70526,586 & 596 EAST 32ND STREET APARTMENTS,Multifamily Incentives Program,2020-12-14T00:00:00.000,,996887,596,EAST 32 STREET,Brooklyn,11210,,,BK-17,45,788,BK42,40.636563,-73.946142,,,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,7
70526,586 & 596 EAST 32ND STREET APARTMENTS,Multifamily Incentives Program,2020-12-14T00:00:00.000,,996888,586,EAST 32 STREET,Brooklyn,11210,,,BK-17,45,788,BK42,40.63664,-73.946153,,,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,7
70523,37-56 103RD STREET,Multifamily Incentives Program,2020-12-11T00:00:00.000,,984002,37-56,103 STREET,Queens,11368,4017680037,,QN-03,21,405,QN26,40.752781,-73.864207,40.75178,-73.863974,,New Construction,No,Non Prevailing Wage,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,2,6
70524,61 TROUTMAN STREET,Multifamily Incentives Program,2020-12-11T00:00:00.000,,381977,61,TROUTMAN STREET,Brooklyn,11206,3031710053,,BK-04,34,391,BK78,40.698519,-73.931713,40.69868,-73.931843,,New Construction,No,Non Prevailing Wage,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,3,8
68782,PRATT TOWERS INC.PLP.FY21,Multifamily Finance Program,2020-12-10T00:00:00.000,,322124,333,LAFAYETTE AVENUE,Brooklyn,11238,3019330100,3055377,BK-02,35,193,BK69,40.688657,-73.962027,40.68939,-73.962041,,Preservation,No,Non Prevailing Wage,0,326,0,0,0,1,0,188,126,13,0,0,0,0,0,327,327,327
70521,885 ROGERS PLAZA,Multifamily Incentives Program,2020-12-04T00:00:00.000,,995591,885,ROGERS AVENUE,Brooklyn,11226,3051110006,,BK-17,40,824,BK95,40.648643,-73.952244,40.64858,-73.951642,,New Construction,No,Non Prevailing Wage,0,0,0,0,32,0,7,9,16,0,0,0,0,0,32,0,32,105
70522,855 DEKALB AVENUE APARTMENTS,Multifamily Incentives Program,2020-12-04T00:00:00.000,,996440,855,DEKALB AVENUE,Brooklyn,11221,3017770062,,BK-03,36,281,BK35,40.692464,-73.941953,40.69267,-73.942105,,New Construction,No,Non Prevailing Wage,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,6,20
67539,2817 ATLANTIC AVENUE,Multifamily Incentives Program,2020-12-03T00:00:00.000,,991140,2817,ATLANTIC AVENUE,Brooklyn,11207,3039480043,,BK-05,37,1198,BK82,40.676641,-73.89019,40.67691,-73.890229,,New Construction,No,Non Prevailing Wage,0,7,7,0,2,0,0,2,11,3,0,0,0,0,16,0,16,68
69502,141 NICHOLAS HDFC.YR15.FY21,Multifamily Finance Program,2020-12-03T00:00:00.000,,838871,646,ST NICHOLAS AVENUE,Manhattan,10030,1020510025,1087444,MN-09,9,227,MN04,40.822322,-73.945562,40.82195,-73.945374,,Preservation,Yes,Non Prevailing Wage,74,18,2,0,0,0,94,0,0,0,0,0,0,0,94,0,94,94
69877,"CONCOURSE VILLAGE, INC.HRP.FY21",Multifamily Finance Program,2020-12-01T00:00:00.000,,97290,775,CONCOURSE VILLAGE EAST,Bronx,,,,BX-04,16,,,,,,,,Preservation,No,Non Prevailing Wage,0,118,194,0,0,0,48,96,120,48,0,0,0,0,0,312,312,312
69877,"CONCOURSE VILLAGE, INC.HRP.FY21",Multifamily Finance Program,2020-12-01T00:00:00.000,,109464,780,CONCOURSE VILLAGE WEST,Bronx,,,,BX-04,16,,,,,,,,Preservation,No,Non Prevailing Wage,0,59,253,0,0,1,48,97,120,48,0,0,0,0,0,313,313,313
69877,"CONCOURSE VILLAGE, INC.HRP.FY21",Multifamily Finance Program,2020-12-01T00:00:00.000,,806181,790,CONCOURSE VILLAGE WEST,Bronx,,,,BX-04,16,,,,,,,,Preservation,No,Non Prevailing Wage,0,59,253,0,0,0,48,96,120,48,0,0,0,0,0,312,312,312
69877,"CONCOURSE VILLAGE, INC.HRP.FY21",Multifamily Finance Program,2020-12-01T00:00:00.000,,806388,773,CONCOURSE VILLAGE EAST,Bronx,,,,BX-04,16,,,,,,,,Preservation,No,Non Prevailing Wage,0,133,179,0,0,0,48,96,120,48,0,0,0,0,0,312,312,312
69877,"CONCOURSE VILLAGE, INC.HRP.FY21",Multifamily Finance Program,2020-12-01T00:00:00.000,,806389,779,CONCOURSE VILLAGE EAST,Bronx,,,,BX-04,16,,,,,,,,Preservation,No,Non Prevailing Wage,0,79,233,0,0,0,48,96,120,48,0,0,0,0,0,312,312,312
69877,"CONCOURSE VILLAGE, INC.HRP.FY21",Multifamily Finance Program,2020-12-01T00:00:00.000,,806390,800,CONCOURSE VILLAGE WEST,Bronx,,,,BX-04,16,,,,,,,,Preservation,No,Non Prevailing Wage,0,58,254,0,0,1,48,97,120,48,0,0,0,0,0,313,313,313
69484,HP WEST 49TH STREET PORTFOLIO HDFC.HPO.FY21,Multifamily Finance Program,2020-11-27T00:00:00.000,,33719,308,WEST 49 STREET,Manhattan,10019,1010390040,1025146,MN-04,3,127,MN15,40.761923,-73.987203,40.76179,-73.987452,,Preservation,No,Non Prevailing Wage,0,6,1,3,5,0,0,8,6,1,0,0,0,0,15,0,15,20
69484,HP WEST 49TH STREET PORTFOLIO HDFC.HPO.FY21,Multifamily Finance Program,2020-11-27T00:00:00.000,,33720,310,WEST 49 STREET,Manhattan,10019,1010390041,1025147,MN-04,3,127,MN15,40.761951,-73.987275,40.76182,-73.987532,,Preservation,No,Non Prevailing Wage,0,7,1,1,5,0,0,3,10,1,0,0,0,0,14,0,14,20
69484,HP WEST 49TH STREET PORTFOLIO HDFC.HPO.FY21,Multifamily Finance Program,2020-11-27T00:00:00.000,,33722,318,WEST 49 STREET,Manhattan,10019,1010390045,1025149,MN-04,3,127,MN15,40.762069,-73.987553,40.76195,-73.987849,,Preservation,No,Non Prevailing Wage,2,2,1,1,10,0,0,7,9,0,0,0,0,0,16,0,16,20
69484,HP WEST 49TH STREET PORTFOLIO HDFC.HPO.FY21,Multifamily Finance Program,2020-11-27T00:00:00.000,,33723,320,WEST 49 STREET,Manhattan,10019,1010390046,1025150,MN-04,3,127,MN15,40.762099,-73.987626,40.76199,-73.987932,,Preservation,No,Non Prevailing Wage,0,1,0,2,9,1,0,4,9,0,0,0,0,0,13,0,13,21
69484,HP WEST 49TH STREET PORTFOLIO HDFC.HPO.FY21,Multifamily Finance Program,2020-11-27T00:00:00.000,,33724,322,WEST 49 STREET,Manhattan,10019,1010390047,1025151,MN-04,3,127,MN15,40.762129,-73.987694,40.76202,-73.988008,,Preservation,No,Non Prevailing Wage,3,1,0,3,8,0,0,6,9,0,0,0,0,0,15,0,15,17
