,decade,compound,GPE,Unnamed: 0,Artist,Song Name,release date,Line,Line Before,Line After,pos,neg,neu,year
3338,2020.0,0.0,Queensbridge,3338,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours",0.0,0.0,1.0,2020.0
3336,2020.0,0.0,Queensbridge,3336,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours, nigga",0.0,0.0,1.0,2020.0
3334,2020.0,0.0,Queensbridge,3334,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours",0.0,0.0,1.0,2020.0
3332,2020.0,0.0,Queensbridge,3332,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours, nigga",0.0,0.0,1.0,2020.0
3347,2020.0,0.0,Queensbridge,3347,Nas,96 Freestyle,2021-08-06,My man Big Ice he lounging in Queensbridge,My man Georgie is lounging downstairs,And all you real cats know what time it is,0.0,0.0,1.0,2021.0
3342,2020.0,0.0,Queensbridge,3342,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours",0.0,0.0,1.0,2020.0
3340,2020.0,0.0,Queensbridge,3340,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours, nigga",0.0,0.0,1.0,2020.0
3510,2020.0,0.0,Queens,3510,Necro,Dedicated to the Trife,2020-06-08,To Bronx to Queens,From Brooklyn to Manhattan,To Shoalin and Strong Island,0.0,0.0,1.0,2020.0
3339,2020.0,0.0,Queens,3339,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours",0.0,0.0,1.0,2020.0
3337,2020.0,0.0,Queens,3337,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours, nigga",0.0,0.0,1.0,2020.0
3335,2020.0,0.0,Queens,3335,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours",0.0,0.0,1.0,2020.0
3333,2020.0,0.0,Queens,3333,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours, nigga",0.0,0.0,1.0,2020.0
3506,2020.0,0.0,Queens,3506,Necro,Dedicated to the Trife,2020-06-08,To Bronx to Queens,From Brooklyn to Manhattan,To Shaolin and Strong Island,0.0,0.0,1.0,2020.0
3523,2020.0,0.0,Queens,3523,Necro,HNA Intro,2020-03-13,"Missin Linx, Queens cats","Non-Phixion, New Jersey cats","Bronx cats, Staten and Manhattan",0.0,0.0,1.0,2020.0
3435,2020.0,0.0,Queens,3435,Nas,Bye Baby,2020-08-21,"Ah, ah, ah, ah, ah, la, da-da, da (Big Queens, NYC)","Thinks that I am unforgettable too6Embed', 'Car #85 Lyrics[Intro: Charlie Wilson & Nas]","Ah, ah, ah, ah, ah, la, da-da, da",0.0,0.0,1.0,2020.0
3348,2020.0,0.0,Queens,3348,Nas,96 Freestyle,2021-08-06,My man Big Ice he lounging in Queensbridge,My man Georgie is lounging downstairs,And all you real cats know what time it is,0.0,0.0,1.0,2021.0
3343,2020.0,0.0,Queens,3343,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours",0.0,0.0,1.0,2020.0
3341,2020.0,0.0,Queens,3341,Nas,2nd Childhood,2020-08-21,"Resurrect through the birth of my seed, Queensbridge","N-A-S, Nas","Make everything right, get yours, nigga",0.0,0.0,1.0,2020.0
3913,2020.0,0.0,Queens,3913,Action Bronson,Jerk Chicken,2022-04-29,"Queens to Brooklyn, no lies, give \'em \'nought shot","Stay designing, always wiling, and we puff pot",Chicken been getting jerked before your little nuts dropped,0.0,0.0,1.0,2022.0
3873,2020.0,0.0,Queens,3873,Action Bronson,Consensual Rape,2020-09-25,Straight from the depths of Queens.,[Verse 1],Leave you sleeping on the mezzanine,0.0,0.0,1.0,2020.0
3877,2020.0,0.0,Queens,3877,Action Bronson,Contemporary Man,2020-09-25,"She raised out in Queens, but moved out to Colorado","Georgia Southern, her alma mater","Looney Tunes, Taz on the shirt",0.0,0.0,1.0,2020.0
3879,2020.0,0.0,Queens,3879,Action Bronson,Double Breasted,2020-09-25,Queens to the death,This Jamie Lee Blue Steel what I'm aimin',Lean to the left,0.0,0.0,1.0,2020.0
120,2020.0,0.0,New York,120,DMX,Get Wild,2021-05-28,My New York niggas leave y'all wit razor bumps,Naw for real come to Cali player take ya pump,Now pappa raised a rolling stone I feel like pops,0.0,0.0,1.0,2021.0
22,2020.0,0.0,New York,22,French Montana,Formula,2020-11-20,"New York, Miami, London, eeh?!","The biggest bumboclaat chune, eeh?!","East Africa, Morocco, eeh?!",0.0,0.0,1.0,2020.0
20,2020.0,0.0,New York,20,French Montana,Formula,2020-11-20,New York got the formula,Lee Milla have the formula,UK got the formula,0.0,0.0,1.0,2020.0
3463,2020.0,0.0,New York,3463,Nas,Every Ghetto,2021-08-06,"Watch me as I walk through the folly, golly, New York to Saudi",[Verse 3: Nas],"In Italy, I\'m Eduardo Baccari",0.0,0.0,1.0,2021.0
3346,2020.0,0.0,New York,3346,Nas,92Y Interview,2021-12-24,Rise to the top of New York,It's the same process,Keep the digest,0.0,0.0,1.0,2021.0
1622,2020.0,0.0,New York,1622,Max B,Dem Boys,2020-06-25,How these niggas from New York becoming Steeler fans (Closer),She'd rather go see the dealer man,"For my family, I will peel a man",0.0,0.0,1.0,2020.0
1621,2020.0,0.0,New York,1621,Max B,Dem Boys,2020-06-25,How these niggas from New York becoming Steeler fans (Closer),She'd rather go see the dealer man,"For my family, I will peel a man",0.0,0.0,1.0,2020.0
1620,2020.0,0.0,New York,1620,Max B,Dem Boys,2020-06-25,How\u2005these niggas from New York becoming Steeler fans (Closer),She'd\u2005rather go see the dealer man,"For my family, I will peel a man",0.0,0.0,1.0,2020.0
331,2020.0,0.0,New York,331,Desiigner,I Get That,2022-01-01,She want a nigga from New York,"I get your, I'm a ho","Hold it, huh",0.0,0.0,1.0,2022.0
330,2020.0,0.0,New York,330,Desiigner,I Get That,2022-01-01,She want a nigga from New York,"I get your, I'm a ho","Hold it, huh",0.0,0.0,1.0,2022.0
329,2020.0,0.0,New York,329,Desiigner,I Get That,2022-01-01,She want a nigga from New York,"I get your, I'm a ho","Hold it, huh",0.0,0.0,1.0,2022.0
328,2020.0,0.0,New York,328,Desiigner,I Get That,2022-01-01,She want a nigga from New York,"I get your, I'm a ho","Hold it, huh",0.0,0.0,1.0,2022.0
327,2020.0,0.0,New York,327,Desiigner,HOP OUT,2022-01-01,"Yeah, nigga, I'm from New York (New York)","We run up them racks all day (All day, all day)","I'm whippin' wearin' fubu to the Dior (Dior, ayy)",0.0,0.0,1.0,2022.0
3899,2020.0,0.0,New York,3899,Action Bronson,Hard Target,2022-04-29,"New York to Paris, three hours because of tailwind","I said it\'s all about the product and not the salesman (Swing, swing)",I\'m so wave it\'s like I sailed in (Sailed),0.0,0.0,1.0,2022.0
3235,2020.0,0.0,New York,3235,Busta Rhymes,Call the Ambulance,2020-11-27,Notorious from New York to New Orleans,H-2-O ridin round in same orbits,House come with the lake swimmin with dolphins,0.0,0.0,1.0,2020.0
3645,2020.0,0.0,New York,3645,A$AP Ferg,DJ Self Freestyle,2020-09-25,"New York stand up, Harlem in the building","You know what it is, A$AP Ferg in the building!",We on a new level,0.0,0.0,1.0,2020.0
3880,2020.0,0.0,New York,3880,Action Bronson,Double Breasted,2020-09-25,The New Yorker,[Verse 2],Heavy body smooth talker,0.0,0.0,1.0,2020.0
3434,2020.0,0.0,NYC,3434,Nas,Bye Baby,2020-08-21,"Ah, ah, ah, ah, ah, la, da-da, da (Big Queens, NYC)","Thinks that I am unforgettable too6Embed', 'Car #85 Lyrics[Intro: Charlie Wilson & Nas]","Ah, ah, ah, ah, ah, la, da-da, da",0.0,0.0,1.0,2020.0
3345,2020.0,0.0,NYC,3345,Nas,92Y Interview,2021-12-24,I walk NYC dolo,Steve Stoute the commissioner nigga,The fuck,0.0,0.0,1.0,2021.0
3525,2020.0,0.0,Manhattan,3525,Necro,HNA Intro,2020-03-13,"Bronx cats, Staten and Manhattan","Missin Linx, Queens cats","The fuckin world - JEFF ROSS!!!1Embed"", ""Horny Honeys Lyrics[Hook]",0.0,0.0,1.0,2020.0
3522,2020.0,0.0,Jersey,3522,Necro,HNA Intro,2020-03-13,"Non-Phixion, New Jersey cats","Flatbush, Canarsie","Missin Linx, Queens cats",0.0,0.0,1.0,2020.0
21,2020.0,0.0,Jamaica,21,French Montana,Formula,2020-11-20,Hit Jamaica for the formula,UK got the formula,"Blood in my eyes from the war, you know",0.0,0.0,1.0,2020.0
532,2020.0,0.0,Jamaica,532,Kool G Rap,Daddy Figure,2020-07-24,Jamaican Rum inside the Kiwi,Sip Martini's in Tahiti,"Play the major leagues, them other cats is pee-wee",0.0,0.0,1.0,2020.0
3220,2020.0,0.0,Jamaica,3220,Busta Rhymes,Against All Odds,2021-04-20,Rather Jamaican than belly boy make you people for fun,I buck my duck if you touch my one,"Fat Man's Son, street educated",0.0,0.0,1.0,2021.0
3701,2020.0,0.0,Jamaica,3701,A$AP Ferg,Nia Long,2020-12-01,No Jamaicans dead but we 'bout to kill 'em,Lay 'em down in that panda river,"A$AP, my rude boys",0.0,0.0,1.0,2020.0
33,2020.0,0.0,Harlem,33,A$AP Rocky,CEO (Freestyle),2022-01-01,And I’m from Harlem so you know we fly high,That’s a 12 gauge handed by the 12th grade,"Buckle up ma you rollin' with a fly guy, cause",0.0,0.0,1.0,2022.0
3544,2020.0,0.0,Harlem,3544,Rakim,CEO (Freestyle),2022-01-01,And I’m from Harlem so you know we fly high,That’s a 12 gauge handed by the 12th grade,"Buckle up ma you rollin' with a fly guy, cause",0.0,0.0,1.0,2022.0
3642,2020.0,0.0,Harlem,3642,A$AP Ferg,DJ Self Freestyle,2020-09-25,Harlem! You should be proud!,Salute that boy when you see him!,New York City!,0.0,0.0,1.0,2020.0
3646,2020.0,0.0,Harlem,3646,A$AP Ferg,DJ Self Freestyle,2020-09-25,"New York stand up, Harlem in the building","You know what it is, A$AP Ferg in the building!",We on a new level,0.0,0.0,1.0,2020.0
3647,2020.0,0.0,Harlem,3647,A$AP Ferg,DJ Self Freestyle,2020-09-25,"From BX to Harlem, ending up in BK",[Verse 5: Fabolous],"You don't want no problem, cook beef like cheesesteak",0.0,0.0,1.0,2020.0
3693,2020.0,0.0,Harlem,3693,A$AP Ferg,Hungry Ham,2020-09-25,"See this is Harlem, these our streets","Throw them bands upEmbed"", 'Hungry Ham Lyrics[Intro: Crystal Caines]","Hungry Ham, that’s all we",0.0,0.0,1.0,2020.0
4257,2020.0,0.0,Brooklyn,4257,Ol' Dirty Bastard,Dirty And Thirsty,2020-03-28,"(Wu-Tang, Brooklyn Zoo)",Bring back the track,,0.0,0.0,1.0,2020.0
4232,2020.0,0.0,Brooklyn,4232,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,"Fuck is goin on, niggas from Brooklyn don’t fuckin scream like that",Is the Brooklyn Zoo in the muthafucka house?,Niggas don’t yell like that,0.0,0.0,1.0,2020.0
4305,2020.0,0.0,Brooklyn,4305,Ol' Dirty Bastard,Pop Shots,2020-03-28,"Without a doubt, Brooklyn had the hardest projects","Back then, you had to catch it with narcotics","Nowadays, if a nigga say you got it",0.0,0.0,1.0,2020.0
4225,2020.0,0.0,Brooklyn,4225,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,[Sample of Brooklyn Zoo],[Sample of Baby C\'mon],[Sample of Drunk Game (Sweet Sugar Pie)],0.0,0.0,1.0,2020.0
4282,2020.0,0.0,Brooklyn,4282,Ol' Dirty Bastard,High in the Clouds,2020-03-28,"I\'m a Brooklyn soldier, yes, I\'m is","Just in case, it\'s goin\' down","If you lookin\' for a problem, here it is",0.0,0.0,1.0,2020.0
4245,2020.0,0.0,Brooklyn,4245,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,"Ol\' Dirty, I got my Brooklyn Zoo niggas here tonight, know what I\'m sayin\'?",A nigga\'s gotta get drunk...,And these niggas ain\'t no motherfuckin\' joke...,0.0,0.0,1.0,2020.0
4241,2020.0,0.0,Brooklyn,4241,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,"Everybody, you know, number one is the Brooklyn Zoo in the motherfuckin\' hangout, yeah",How do we do?,"Man, come on, man, with that bullshit",0.0,0.0,1.0,2020.0
612,2020.0,0.0,Brooklyn,612,RZA,Break Bread,2020-02-26,"Pearly handle, police woman scroll Brooklyn, we bouncin, commercial keep lookin","Nestle in the glass, I was plunged, double-edged tongue","Pussy tight ginger, turn rough cats to cringers",0.0,0.0,1.0,2020.0
4201,2020.0,0.0,Brooklyn,4201,Ol' Dirty Bastard,Brooklyn Zoo,2020-03-28,"Yo, by a nigga who couldn\'t figure (Brooklyn Zoo)","Yo, by a nigga who couldn\'t figure","How to pull a fucking gun trigger, I said ""Get the fuck outta here""",0.0,0.0,1.0,2020.0
3912,2020.0,0.0,Brooklyn,3912,Action Bronson,Jerk Chicken,2022-04-29,"Queens to Brooklyn, no lies, give \'em \'nought shot","Stay designing, always wiling, and we puff pot",Chicken been getting jerked before your little nuts dropped,0.0,0.0,1.0,2022.0
2720,2020.0,0.0,Brooklyn,2720,Young M.A,Maaan,2021-05-21,I said it’s Brooklyn bitch,[Verse 1],That Crooklyn shit that have you shook and shit,0.0,0.0,1.0,2021.0
2686,2020.0,0.0,Brooklyn,2686,Young M.A,Bake Freestyle,2020-05-22,"Brooklyn what up man, c’mon man y\'all know I gotta talk that shit",Shout out to The Clipse on this one man,"Man y\'all know the vibes, man y’all know what I\'m about to do",0.0,0.0,1.0,2020.0
2662,2020.0,0.0,Brooklyn,2662,Raekwon,Cold Outside,2020-01-17,"Her Brooklyn man\'s a molestor, court case, and the crime\'s raising","House is brick, bills haven\'t been paid in days","Swastikas on the church, they Satan",0.0,0.0,1.0,2020.0
39,2020.0,0.0,Bronx,39,A$AP Rocky,Freeze,2022-01-01,I wonder if those Bronx bitches let me holler,Lookin' for a model who I can cuff up,A bunch of strippers or beauticians from the beauty parlor,0.0,0.0,1.0,2022.0
3509,2020.0,0.0,Bronx,3509,Necro,Dedicated to the Trife,2020-06-08,To Bronx to Queens,From Brooklyn to Manhattan,To Shoalin and Strong Island,0.0,0.0,1.0,2020.0
3524,2020.0,0.0,Bronx,3524,Necro,HNA Intro,2020-03-13,"Bronx cats, Staten and Manhattan","Missin Linx, Queens cats","The fuckin world - JEFF ROSS!!!1Embed"", ""Horny Honeys Lyrics[Hook]",0.0,0.0,1.0,2020.0
3505,2020.0,0.0,Bronx,3505,Necro,Dedicated to the Trife,2020-06-08,To Bronx to Queens,From Brooklyn to Manhattan,To Shaolin and Strong Island,0.0,0.0,1.0,2020.0
3550,2020.0,0.0,Bronx,3550,Rakim,Freeze,2022-01-01,I wonder if those Bronx bitches let me holler,Lookin' for a model who I can cuff up,A bunch of strippers or beauticians from the beauty parlor,0.0,0.0,1.0,2022.0
3436,2020.0,0.0,Broadway,3436,Nas,Bye Baby,2020-08-21,On 40th and Broadway they made me stay and wait,"They called me ""Babyface"" in eighty-eight","Cab service, car eighty-five",0.0,0.0,1.0,2020.0
533,2020.0,0.0,Broadway,533,Kool G Rap,Daddy Figure,2020-07-24,"Broadway shows, fly condos",Bundles of ones with O's,"Sweet as Pendinico, Tiger skins Albino",0.0,0.0,1.0,2020.0
3471,2020.0,0.0,America,3471,Akon,Against the Grain (Full),2020-07-31,"And when they askin' questions then you ain't sayin' nothin'Embed"", ""America’s Most Wanted LyricsYou're America's most wanted tonight",Ain't sayin' nothin',I'll do my 25 to life,0.0,0.0,1.0,2020.0
3472,2020.0,0.0,America,3472,Akon,Against the Grain (Full),2020-07-31,"Cause, You're America's most wanted tonight",,And I will shout it out loud,0.0,0.0,1.0,2020.0
3473,2020.0,0.0,America,3473,Akon,Against the Grain (Full),2020-07-31,You're America's most wanted tonight,,I'll do my 25 to life,0.0,0.0,1.0,2020.0
3474,2020.0,0.0,America,3474,Akon,Against the Grain (Full),2020-07-31,"Cause, you're America's most wanted tonight",,And I will shout it out loud,0.0,0.0,1.0,2020.0
3476,2020.0,0.0,America,3476,Akon,Against the Grain (Full),2020-07-31,"Cause, You're America's most wanted tonight",,And I will shout it out loud,0.0,0.0,1.0,2020.0
3477,2020.0,0.0,America,3477,Akon,Against the Grain (Full),2020-07-31,You're America's most wanted tonight,,I'll do my 25 to life,0.0,0.0,1.0,2020.0
3478,2020.0,0.0,America,3478,Akon,Against the Grain (Full),2020-07-31,You're America's most wanted tonight,If I can have you by my side,I'll do my 25 to life,0.0,0.0,1.0,2020.0
3479,2020.0,0.0,America,3479,Akon,Against the Grain (Full),2020-07-31,"Cause, You're America's most wanted tonight",,And I will shout it out loud,0.0,0.0,1.0,2020.0
3492,2020.0,0.0,America,3492,Necro,ACAB,2020-06-08,America\'s political system is broken,Blasting Get Up Stand Up from a thousand boomboxes,"Swing your bullshit opinion at me, get ya\' shit broken",0.0,0.0,1.0,2020.0
3236,2020.0,0.0,America,3236,Busta Rhymes,Conglomerate,2020-11-02,"You're liking what you see, American gangster, my strap's European","See them broads froze up, soon door's open up, hey, ladies","Came wit a scope, got a Navy feel so I can ambush niggas like the Navy Seals",0.0,0.0,1.0,2020.0
850,2020.0,0.0,America,850,Aesop Rock,Coordinates,2020-11-13,Spreading like spores through the homes of all average Americans,Night crawling audio visual veterans,50 million poets screaming all on the run,0.0,0.0,1.0,2020.0
3878,2020.0,0.0,America,3878,Action Bronson,Contemporary Man,2020-09-25,American flags hang on walls that hide money,[Verse 6: Action Bronson],Put my arm through the Picasso,0.0,0.0,1.0,2020.0
3331,2020.0,-0.1027,Queens,3331,Nas,1996 Freestyle,2020-08-21,"Supreme court, Queens New York will bore ya'",Hid a stash to ya lawyers,"Suited up, booted up, with the jail cut",0.0,0.259,0.741,2020.0
3330,2020.0,-0.1027,New York,3330,Nas,1996 Freestyle,2020-08-21,"Supreme court, Queens New York will bore ya'",Hid a stash to ya lawyers,"Suited up, booted up, with the jail cut",0.0,0.259,0.741,2020.0
4283,2020.0,-0.1027,Brownsville,4283,Ol' Dirty Bastard,Hippa to Da Hoppa,2020-03-28,"Down, to the Brownsville, oops you got smoked",I get you blurry in your eye with a high note,The shit I'm dropping is stinking up your area,0.0,0.149,0.851,2020.0
19,2020.0,-0.128,America,19,French Montana,Empire,2021-11-19,Young American me,Half of my bitches richer than me,Shit be scary to see,0.276,0.317,0.407,2021.0
3908,2020.0,-0.1779,Queens,3908,Action Bronson,In The City,2020-09-25,"One and only, Bam Bam, Flushing, Queens represent",Hide the G's in a vent so you see the boy wiggle the keys to the Benz,"After we shoot we throw the tec out, at least 10 stacks when I step out",0.0,0.102,0.898,2020.0
3437,2020.0,-0.2732,Queens,3437,Nas,Bye Baby,2020-08-21,She moved from Queens to Co-Op City (Ooh-wee),And low was how she did me (Ooh),"She said, ""Visit me, that\'s if you really miss me"" (I did), show proof",0.0,0.231,0.769,2020.0
3914,2020.0,-0.296,Jamaica,3914,Action Bronson,Jerk Chicken,2022-04-29,Who lean like he mixed Jamaican rum and tequila,"Ay, ya no wan\' rump with the senior",Trail a load of hoes from Kingston and Montego,0.0,0.239,0.761,2022.0
4191,2020.0,-0.296,America,4191,Joey bada$$,LAND OF THE FREE,2022-06-17,"Sorry America, but I will not be your soldier",Yet 300 million of us still got no focus,"Obama just wasn't enough, I need some more closure",0.0,0.216,0.784,2022.0
640,2020.0,-0.34,New York,640,RZA,Koto Chotan,2020-08-21,"East New York Squad in the yard gettin\' ripped, at least 25 a clip",My niggas from the Boulevard,"A 100 men stompin\' your face, the wolves barkin\'",0.0,0.375,0.625,2020.0
4256,2020.0,-0.4019,Brooklyn,4256,Ol' Dirty Bastard,Dirty And Thirsty,2020-03-28,"Chkccha ckchcka Brooklyn, zucka Zoo",*more nonsense noises*,"C'mon baby baby, baby, baby",0.0,0.574,0.426,2020.0
1624,2020.0,-0.4215,Manhattan,1624,Max B,Goodbye,2020-06-25,I\'m the hottest to come up out Manhattan since Cam was spazzin\',"I was starving, can\'t believe they really tried feed me with rations","All day, I see cameras flashing",0.0,0.219,0.781,2020.0
3263,2020.0,-0.4404,Harlem,3263,Fetty Wap,Aye,2020-12-11,"Ayy, Harlem World, that\'s the hood","Ayy, 12 hunnit that\'s the block","Ayy, Pill squad, party packs",0.0,0.367,0.633,2020.0
3508,2020.0,-0.4767,Manhattan,3508,Necro,Dedicated to the Trife,2020-06-08,From Brooklyn to Manhattan,Get arrested and spend the whole night in central booking,To Bronx to Queens,0.0,0.256,0.744,2020.0
3504,2020.0,-0.4767,Manhattan,3504,Necro,Dedicated to the Trife,2020-06-08,From Brooklyn to Manhattan,Get arrested and spend the whole night in central booking,To Bronx to Queens,0.0,0.256,0.744,2020.0
4227,2020.0,-0.4767,Brooklyn,4227,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,"Ol Dirty Bastard, Brooklyn Zoo!",Shame on you when you step through to,What?!! My nuh,0.0,0.307,0.693,2020.0
4228,2020.0,-0.4767,Brooklyn,4228,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,"The Ol Dirty Bastard, Brooklyn Zoo",Shame on you when you step through to,Shame on you when you step through to,0.0,0.307,0.693,2020.0
4238,2020.0,-0.4767,Brooklyn,4238,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,"Ol\' Dirty Bastard, Brooklyn Zoo",Shame on you when you step through to,What? My nuh,0.0,0.307,0.693,2020.0
4229,2020.0,-0.4767,Brooklyn,4229,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,"The Ol Dirty Bastard, Brooklyn Zoo",Shame on you when you step through to,To the West coast!,0.0,0.307,0.693,2020.0
4237,2020.0,-0.4767,Brooklyn,4237,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,"Ol\' Dirty Bastard, Brooklyn Zoo",Shame on you when you step through to,Shame on you when you step through to,0.0,0.307,0.693,2020.0
4240,2020.0,-0.4767,Brooklyn,4240,Ol' Dirty Bastard,Brooklyn Zoo II,2020-03-28,"The Ol\' Dirty Bastard, Brooklyn Zoo",Shame on you when you step through to,To the West coast,0.0,0.307,0.693,2020.0
