Name;Categories;URL;Years Active Start;Birthdate;Summary;Years Active End;Deathdate;Clip Example YouTube;City;Neighborhood;Coordinates
Allan Kingdom;"rapper;singer";https://en.wikipedia.org/wiki/Allan_Kingdom;2011;1994-01-06;Allan Kyariga (born January 6, 1994, better known by his stage name Allan Kingdom, is a Canadian rapper and record producer based in Saint Paul, Minnesota. He is a member of Thestand4rd along with Spooky Black, Bobby Raps, and Psymun.;;;https://www.youtube.com/embed/kCw_uXuil8k;Saint Paul;;44.909013,-92.961595
EarthGang;group;https://en.wikipedia.org/wiki/EarthGang;2009;;"EarthGang are an American rap duo composed of rappers Johnny ""Olu O. Fann"" Venus and Doctur ""Eian Undrai Parker"" Dot. Formed in 2008 in Atlanta, Georgia, EarthGang released its first EP, The Better Party.";;;https://www.youtube.com/embed/kNv3lcNRhi8;Atlanta;;33.735726,-84.504626
PNB Rock;"rapper;singer";https://en.wikipedia.org/wiki/PnB_Rock;2014;1991-12-09;Rakim Hasheem Allen (born December 9, 1991), better known by his stage name PnB Rock, is an American rapper and singer from Philadelphia, Pennsylvania.;;;https://www.youtube.com/embed/8Sczx0Xztd4;Philadelphia;;39.94256,-75.169965
Rap Monster;rapper;https://en.wikipedia.org/wiki/Rap_Monster;2013;1994-09-12;Kim Nam-joon (born September 12, 1994), better known as Rap Monster, is a South Korean rapper, songwriter, and record producer.;;;https://www.youtube.com/embed/0XAxf8aFtL4;Ilsan;;37.668572,126.79004
Less du neuf;group;https://fr.wikipedia.org/wiki/Less_du_Neuf;1994;;Less du Neuf was a french hiphop group from Meudon, Hauts-de-Seine. The group is composed of DJ Ol'Tenzano, Kimto, Vasquez and Jeap12.;2008;;https://www.youtube.com/embed/7kS6MUoro_o;Meudon;;48.812169,2.237701
Radmo;rapper;;;;Radmo is a french rapper from Besançon. He has worked in collaboration with Dela (producer of the rap group Butter Bullet from Besançon).;;;https://www.youtube.com/embed/Ea_94Y_IIr4;Besançon;Planoise;47.221512,5.967567
Gaël Faye;"rapper;singer";https://fr.wikipedia.org/wiki/Ga%C3%ABl_Faye;2008;;Gaël Faye is a French rapper and singer of Burundian origin from the Yvelines, France.;;;https://www.youtube.com/embed/2CT2p4adHXA;Yvelines;;48.843966,1.983584
K-Rino;rapper;http://hip-hop-music.wikia.com/wiki/K-Rino;1993;1970-09-09;Eric Kaiser (born 9 September 1970), better known by his stage name K-Rino, is an American rapper and record producer from Houston, Texas. He is the founder of the South Park Coalition.;;;https://www.youtube.com/embed/_1RuDSr0EWU;Houston;South Park;29.663437,-95.325668
Swift Gad;rapper;;2011;;Swift Gad is a french rapper from Croix de Chavaux in Montreuil, Seine Saint Denis.;;;https://www.youtube.com/embed/KxDic6Nf42I;Montreuil;Croix de Chavaux;48.859502,2.434101
Brulux;rapper;;;;Hedi Chabar better know has Brulux is a french rapper from Paris.;;;https://www.youtube.com/embed/OQAaMBaka7A;Paris;;48.884682,2.33891
Massive Töne;group;https://en.wikipedia.org/wiki/Massive_T%C3%B6ne;1991;;"Massive Töne is one of the oldest German hip hop groups, founded 1991 in Stuttgart. Formed by Showi (Jean-Christoph Ritter), Ju (João dos Santos), Wasi (Wasi Ntuanoglu) and DJ 5ter Ton (""DJ Fifth Note"", Alexander Scheffel).";2006;;https://www.youtube.com/embed/y8pcVDN8vWQ;Stuttgart;;48.777536,9.179257
Nesbeal;rapper;https://en.wikipedia.org/wiki/Nessbeal;1999;1978-08-16;Nabil Sahli (born 16 August 1978), better known by his stage name Nessbeal, is a French rapper from Villiers-sur-Marne, Val-de-Marne.;;;https://www.youtube.com/embed/TxIF_P9VoRg;Villiers-sur-Marne;Hautes-Noues;48.835658,2.535869
Sofiane;rapper;https://en.wikipedia.org/wiki/Sofiane_(rapper);2007;1986-07-21;Sofiane Zermani (born 21 July 1986) better known by the mononym Sofiane is a French rapper of Algerian origin. He is also known by the name Fianso. He come from Le Blanc-Mesni, Seine-Saint-Denis.;;;https://www.youtube.com/embed/6zIiuUH4Q8s;Blanc Ménil;;48.924417,2.47266
Sinik;rapper;https://en.wikipedia.org/wiki/Sinik;1996;1980-06-26;Thomas Idir a.k.a. Sinik (born June 26, 1980) is a French rap artist. His father is Algerian while his mother is French.;2017;;https://www.youtube.com/embed/dU0c6LjNEy0;Les Ulis;Cité des Hautes Bergères;48.684966,2.168392
Hamza;"producer / dj;rapper";;2013;;Hamza is a rapper, producer from Bruxelles, Belgium. He had gained notoriety in 2015 with is free mixtape H24.;;;https://www.youtube.com/embed/bQa1Ln2nDLk;Bruxelles;Bockstael;50.877058,4.342225
Robb Bank$;rapper;https://en.wikipedia.org/wiki/Robb_Banks;2011;1994-09-24;Richard Burrell (born September 24, 1994) better known by his stage name Robb Banks (formerly stylized Robb Bank$), is an American hip hop recording artist from Coral Springs, Florida.;;;https://www.youtube.com/embed/rZL8d25EiHQ;Coral Springs;;26.284915,-80.21448
Poison Clan;group;https://en.wikipedia.org/wiki/Poison_Clan;1990;;Poison Clan was a Southern hip-hop group signed to Luke Records from 1990 to 1995, the group had various line-ups and members were JT Money, Thomas Brooks of Marianna Fl, Debonaire, Drugz, Uzi, Madball and Big Ram. Thomas Brooks played an important role in the development of the Dirty South movement that developed late in the decade.;1995;;https://www.youtube.com/embed/nIy5nXbGZLo;Miami;;25.759119,-80.232722
Proof;rapper;https://en.wikipedia.org/wiki/Proof_(rapper);1992;1973-10-02;eShaun Dupree Holton (October 2, 1973 – April 11, 2006), better known by his stage name Proof, was an American rapper and actor from Detroit, Michigan. He was a member of the groups D12. He was a close childhood friend of rapper Eminem. In 2006, Proof was shot and killed during an altercation at the CCC nightclub in Detroit.;2006;2006-04-11;https://www.youtube.com/embed/U4MfApWb69g;Detroit;;42.443729,-82.986971
T-Pain;singer;https://en.wikipedia.org/wiki/T-Pain;2004;1985-10-30;Faheem Rashad Najm (born September 30, 1985), better known by his stage name T-Pain, is an American rapper, singer, songwriter and record producer from Tallahassee, Florida.;;;https://www.youtube.com/embed/kWBE0sQC5L8;Tallahassee;;30.433084,-84.295997
Slim Thug;rapper;https://en.wikipedia.org/wiki/Slim_Thug;1998;1980-09-08;Stayve Jerome Thomas (born September 8, 1980), better known as Slim Thug, is an American rapper from Houston (Texas).;;;https://www.youtube.com/embed/d4qr7-7fnz4;Houston;Scenic Woods;29.860766,-95.301123
2 Live Crew;group;https://en.wikipedia.org/wiki/2_Live_Crew;1982;;The 2 Live Crew was an American hip-hop group from Miami, Florida. They caused considerable controversy with the sexual themes in their work, particularly on their 1989 album As Nasty As They Wanna Be.;1998;;https://www.youtube.com/embed/u6VTj7LhCtE;Miami;;25.76989,-80.198741
El-P;"producer;rapper";https://en.wikipedia.org/wiki/El-P;1993;1975-03-02;Jaime Meline (born March 2, 1975), better known by his stage name El-P, is an American hip hop recording artist, record producer. In 2013, he formed the hip-hop duo Run the Jewels with collaborator Killer Mike.;;;https://www.youtube.com/embed/4Yjhpp22ygs;Brooklyn;;40.690284,-73.984371
Migos;group;https://en.wikipedia.org/wiki/Migos;2010;;Migos is an American hip hop group from Lawrenceville, Georgia,  formed in 2009. The group consists of three members, known by their stage names Quavo, Takeoff, and Offset.;;;https://www.youtube.com/embed/rF-hq_CHNH0;Lawrenceville;;33.949977,-83.989804
Nate Dogg;"rapper;singer";https://en.wikipedia.org/wiki/Nate_Dogg;1991;1969-08-19;Nathaniel Dwayne Hale (August 19, 1969 – March 15, 2011), better known by his stage name Nate Dogg, was an American rapper, singer. He was known as one of the pioneers of West Coast hip hop.;2011;2011-03-15;https://www.youtube.com/embed/pWUMSPekHBE;Los Angeles;Longbeach;33.782685,-118.145006
Chuck D;"producer;rapper";https://en.wikipedia.org/wiki/Chuck_D;;;Carlton Douglas Ridenhour (born August 1, 1960), known professionally as Chuck D, is an American rapper, author, and producer member of the rap group Public Enemy.;;;;Long Island;Roosevelt;40.682377,-73.582796
Drake;"rapper;singer";https://en.wikipedia.org/wiki/Drake_(musician);;;Aubrey Drake Graham (born October 24, 1986), known simply as Drake, is a Canadian rapper, singer, songwriter, record producer, and actor.;;;https://www.youtube.com/embed/uxpDa-c-4Mc;Toronto;Forest Hill;43.6966656,-79.4237412
Juicy P;rapper;;;;Juicy P is a french Rapper from Grigny.;;;https://www.youtube.com/embed/_m_ZdKlGP84;Grigny;La Grande Borne;48.653538,2.372164
Playa Fly;rapper;https://en.wikipedia.org/wiki/Playa_Fly;;;Playa Fly (born Ibn Young on September 2, 1977) is an American rapper from Memphis, Tennessee. Fly was a member of the Triple 6 Mafia (now known as Three 6 Mafia, then known as Lil' Fly), but he stopped collaborating in 1995 due to monetary disputes and philosophical differences after recording one album under the group's guidance.;;;https://www.youtube.com/embed/TdP1MzJE700;Memphis;;35.1072904,-90.0433016
Redman;rapper;https://en.wikipedia.org/wiki/Redman_(rapper);;;"Reginald ""Reggie"" Noble (born April 17, 1970), better known by his stage name Redman, is an American rapper, DJ, record producer, and actor. He rose to fame in the early 1990s as an artist on the Def Jam label.";;;https://www.youtube.com/embed/ZBNh2PPqlJs;Newark;Brick City;40.73564,-74.213194
Chief Keef;"producer;rapper";https://en.wikipedia.org/wiki/Chief_Keef;;;Keith Cozart, better known by his stage name Chief Keef, is an American rapper and record producer from Chicago, Illinois.;;;https://www.youtube.com/embed/wLpCkuftmJM;Chicago;;41.7784138,-87.617782
Yoon Mi Rae;"rapper;singer";https://en.wikipedia.org/wiki/Yoon_Mi-rae;1997;1981-05-31;Natasha Shanta Reid (born May 31, 1981), better known by her Korean name Yoon Mi-rae, is an American-born South Korean rapper and singer. She is currently a member of Korean hip hop trio MFBTY.;;;https://www.youtube.com/embed/JvI6m0d9SbQ;Fort Hood;;31.194718,-97.769074
Kaytranada;producer / dj;https://en.wikipedia.org/wiki/Kaytranada;2010;1992-08-25;Louis Kevin Celestin (born August 25, 1992), known by his stage name Kaytranada, is a Haitian-Canadian DJ and record producer.;;;https://www.youtube.com/embed/yaWesK-nWts;Montreal;;45.557665,-73.655446
Desiigner;rapper;https://en.wikipedia.org/wiki/Desiigner;2014;;Sidney Royel Selby III (born May 3, 1997), better known by his stage name Desiigner, is an American recording rapper from Brooklyn, New York.;;;https://www.youtube.com/embed/E5ONTXHS2mM;Brooklyn;Bedford–Stuyvesant;40.688132,-73.945766
Georgio;rapper;https://fr.wikipedia.org/wiki/Georgio;2007;1993-01-21;Georges Édouard Nicolo know has Georgio (21/01/1993), is a french rapper from Paris (18th).;;;https://www.youtube.com/embed/GYvDYq3EG74;Paris;18th;48.887897,2.353752
Dinos Punchlinovic;rapper;;2012;;Dinos Punchlinovic is a French rapper from La Courneuve, Seine-Saint-Denis.;;;https://www.youtube.com/embed/8l5yhh0m1HA;Seine-Saint-Denis;La Courneuve;48.931401,2.397335
La Smala﻿;group;https://fr.wikipedia.org/wiki/La_Smala_(groupe);2007;;La Smala is a Belgian rap group from Bruxelles formed by Seyté, Rizla, Senamo, Shawn-H and F.L.O.;;;https://www.youtube.com/embed/4BTMg_-P14I;Bruxelles;;50.817108,4.322222
Silkk the Shocker;rapper;https://en.wikipedia.org/wiki/Silkk_the_Shocker;1991;1976-06-18;Vyshonne King Miller (June 18, 1976) known by his stage name Silkk The Shocker, is an American rapper and actor. He is the brother of Master P (No Limit Records founder).;;;https://www.youtube.com/embed/3r1VKq2wzjE;New Orleans;Calliope Projects;29.951165,-90.093223
Jawat!;rapper;https://nl.wikipedia.org/wiki/Jawat!;2004;;Raoul Geerman know has Jawat! is a Netherland rapper from Zwolle.;2010;;https://www.youtube.com/embed/UmPmV8BPtO0;Zwolle;;52.512067,6.094215
Joke;rapper;https://en.wikipedia.org/wiki/Joke_(rapper);2008;1989-10-27;Gilles Ateyaba Koffi Soler better known as Joke (born 27 October 1989) is a French rapper from Montpellier.;;;https://www.youtube.com/embed/7cVDbv5srjo;Montpellier;;43.607406,3.874333
Di-Meh;"producer / dj;rapper";;2014;1995-06-30;Di-Meh (Born 30 June 1995) is a  swiss rapper from Geneva. He is a member of the 13Sarkastick and SuperWakClique collectives.;;;https://www.youtube.com/embed/Jb-iONa9uDk;Geneva;;46.204014,6.116622
Lady Sovereign;rapper;https://en.wikipedia.org/wiki/Lady_Sovereign;2003;1985-12-19;"Louise Amanda Harman (born 19 December 1985), better known by the stage name Lady Sovereign, is an English rapper. She is best known for the songs ""9 to 5"" and ""Love Me or Hate Me"".";;;https://www.youtube.com/embed/GuGhwabBzcU;London;Chalkhill Estates;51.563933,-0.269657
Isha;rapper;;2005;;Isha (Previously know has Psmaker) is a Belgian rap artist from Bruxelles.;;;https://www.youtube.com/embed/wjFaQwX-Sts;Bruxelles;;50.858963,4.366379
Alibi Montana;rapper;https://en.wikipedia.org/wiki/Alibi_Montana;1999;;Nikarson Saint-Germain better known by his stage name Alibi Montana (born in Villetaneuse, Seine-Saint-Denis, France in 1978) is a French rapper of Haitian origin.;;;https://www.youtube.com/embed/QuUGVaijFW4;La Courneuve;La cité des 4000;48.926,2.38
Tandem;group;https://fr.wikipedia.org/wiki/Tandem_(groupe);1999;;Tandem was a French rap band from Aubervilliers, Seine-Saint-Denis formed by Mac Tyer, de Mac Kregor et & Mac Thyff.;2012;;https://www.youtube.com/embed/icgYS_u8TtI;Aubervilliers;;48.915267,2.387739
C Murder;rapper;https://en.wikipedia.org/wiki/C-Murder;1991;1971-03-09;Corey Miller, better known by his stage name, C-Murder, is an American rapper, songwriter and actor. C-Murder is the brother of both Master P and Silkk the Shocker.;;;https://www.youtube.com/embed/rugPY-L1n_c;New Orleans;Calliope Projects;29.950324,-90.092356
Mystikal;rapper;https://en.wikipedia.org/wiki/Mystikal;1993;1970-09-22;Michael Lawrence Tyler (born September 22, 1970), better known by his stage name Mystikal, is an American rapper and actor from New Orleans.;;;https://www.youtube.com/embed/xsxHw4dcVdc;New Orleans;;29.929525,-90.094404
Big Sean;rapper;https://en.wikipedia.org/wiki/Big_Sean;2007;1988-03-25;Sean Michael Leonard Anderson (born March 25, 1988), known professionally as Big Sean, is an American rapper from Detroit, Michigan.;;;https://www.youtube.com/embed/phr1pOFK1V8;Detroit;;42.3645,-82.9975
A Tribe Called Quest;group;https://en.wikipedia.org/wiki/A_Tribe_Called_Quest;;;A Tribe Called Quest is an American hip-hop group formed in 1985 and originally composed of MC and producer Q-Tip, the late MC Phife Dawg and DJ and producer Ali Shaheed Muhammad.;;;https://www.youtube.com/embed/1QWEPdgS3As;New York;Queens;40.6916,-73.7624
Kurtis Blow;rapper;https://en.wikipedia.org/wiki/Kurtis_Blow;;;Kurt Walker (born August 9, 1959), professionally known by his stage name Kurtis Blow, is an American rapper and record producer.;;;https://www.youtube.com/embed/FcLITA7Ugw0;New York;Harlem;40.81573,-73.94133
Seth Gueko;rapper;https://en.wikipedia.org/wiki/Seth_Gueko;;;Nicolas Salvadori (born in Saint-Ouen-l'Aumône, Val-d'Oise, France on 27 October 1980), better known by his stage name Seth Gueko, is a French rapper.;;;https://www.youtube.com/embed/Vj1Sz8HAk7I;Saint-Ouen-l'Aumône;;49.05,2.1167
Eazy-E;rapper;https://en.wikipedia.org/wiki/Eazy-E;;;"Eric Lynn Wright (September 7, 1964 – March 26, 1995), better known by his stage name Eazy-E, was an American rapper who performed solo and in the hip hop group N.W.A. Wright is affectionately called ""The Godfather of Gangsta Rap"". He was born to Richard and Kathie Wright in Compton, California.";;;https://www.youtube.com/embed/fJuapp9SORA;Los Angeles;Compton;33.8850635,-118.2010406
Killer Mike;rapper;https://en.wikipedia.org/wiki/Killer_Mike;;;Michael Render (born April 20, 1975), better known by his stage name Killer Mike, is an American hip hop recording artist, actor and activist from Atlanta, Georgia. Recently he is mainly performing into the Run the Jewels group.;;;https://www.youtube.com/embed/WkO76a002Y4;Atlanta;;33.746667,-84.415278
Infinit;rapper;;;;Infinit’ is a rapper from Nice. He gained some notoriety with a song about Christian Estrosi which valued him prosecution.;;;https://www.youtube.com/embed/nGrkw4GgnqA;Nice;;43.7031,7.272876
Keith Ape;rapper;https://en.wikipedia.org/wiki/Keith_Ape;2012;;"Dongheon Lee (이동헌; born December 25, 1993), known professionally as Keith Ape, is a South Korean hip hop recording artist from Seoul.";;;https://www.youtube.com/embed/DPC9erC5WqU;Seoul;;37.574814,126.940791
Original Flow Mastaz;group;https://www.facebook.com/OriginalFlowMastaz/;2017;;Original Flow Mastaz is a Hip Hop band from Neuchâtel formed by Akim, Le R', Seko and Askaine.;;;https://www.youtube.com/embed/iTJu8uDyJ8E;Neuchâtel;;46.999944,6.917182
Childish Gambino;"producer / dj;rapper;singer";https://en.wikipedia.org/wiki/Donald_Glover;2002;1983-09-25;Donald McKinley Glover (born September 25, 1983) is an American actor, writer, producer, comedian, rapper, singer, and songwriter from Stone Mountain, Georgia. As a recording artist, he usually performs under the stage name Childish Gambino.;;;https://www.youtube.com/embed/tG35R8F2j8k;Stone Mountain;;33.805348,-84.173765
Freeway;rapper;https://en.wikipedia.org/wiki/Freeway_(rapper);2000;1978-08-06;Leslie Edward Pridgen (born August 6, 1978), better known by his stage name Freeway, is an American hip hop recording artist from North Philadelphia, Pennsylvania.;;;https://www.youtube.com/embed/XwKH-a_2e-g;Philadelphia;;40.007635,-75.141924
MoTrip;rapper;https://de.wikipedia.org/wiki/MoTrip;2011;1988-03-07;MoTrip (born March 7, 1988) is a German rapper of Lebanese origin from Aachen.;;;https://www.youtube.com/embed/0Nv63WxC7WM;Aachen;Blücherplatz;50.779529,6.102044
7liwa;rapper;https://genius.com/artists/7liwa;2011;;7Liwa is a moroccan rapper from Casablanca.;;;https://www.youtube.com/embed/0l-oxCyV-4Y;Casablanca;;33.580666,-7.611599
Odezenne;rapper;https://en.wikipedia.org/wiki/Odezenne;2005;;Odezenne is a French music group from the city of Bordeaux in southwestern France. Their sound has been characterised as being notably eclectic. The group consists of Alix, Jacques, and Mattia who were childhood friends.;;;https://www.youtube.com/embed/F43u9xbiAzs;Bordeaux;;44.842913,-0.603308
Bigflo & Oli;group;https://en.wikipedia.org/wiki/Bigflo_%26_Oli;2009;;"Bigflo & Oli is a French hip-hop duo from Toulouse. The duo is composed of two brothers, Florian ""Bigflo"" Ordonez and Olivio ""Oli"" Ordonez.";;;https://www.youtube.com/embed/BdFY2GjQncE;Toulouse;;43.615345,1.431123
Iceberg Black;"producer / dj;rapper";https://www.facebook.com/pg/tesfathetwin/about/?ref=page_internal;2014;;Iceberg black is an american rapper & producer from Crown Heights Brooklyn, New York.;;;https://www.youtube.com/embed/Y7OPDDWWSPg;Brooklyn;Crown Heights;40.670641,-73.943575
Mia X;rapper;https://en.wikipedia.org/wiki/Mia_X;1992;1970-01-09;Mia Young (born January 9, 1970), better known by her stage name Mia X, is an American rapper, singer-songwriter and actress. She was the first female emcee to get a contract on No Limit Records.;;;https://www.youtube.com/embed/lDLFnVIrBp8;New Orleans;7th Ward;29.976238,-90.065521
Da Guedes;group;;1993;;Da Guedes is a Brazilian rap group, formed in the city of Porto Alegre in 1993. The group is formed by Baze, Nitro Di and DJ Deeley.;;;https://www.youtube.com/embed/OvhkvDyY8eU;Porto Alegre;;-30.042245,-51.219484
Romeo Elvis;rapper;;2012;;Romeo Elvis is a Belgian rapper from Bruxelles.;;;https://www.youtube.com/embed/08M61pwlPIw;Bruxelles;Linkebeek;50.770863,4.34309
Sefyu;rapper;https://en.wikipedia.org/wiki/Sefyu;2004;1981-04-20;Youssef Soukouna (born 20 April 1981), better known by his stage name Sefyu is a French rapper of Senegalese descent from Aulnay-sous-Bois, Seine-Saint-Denis.;2015;;https://www.youtube.com/embed/Nzt7puchldA;Aulnay-sous-Bois;Cité Nouvelle Emmaüs;48.950124,2.491753
Vald;rapper;https://fr.wikipedia.org/wiki/Vald;2011;1992-07-15;Valentin Le Du, know has Vald (born 15 jully 1992) is a French rapper from Aulnay-sous-Bois, Seine-Saint-Denis.;;;https://www.youtube.com/embed/lA0FgzTvSUc;Aulnay-sous-Bois;;48.934982,2.493237
Lomepal;rapper;;2009;;Lomepal is a French rapper from the south of Paris.;;;https://www.youtube.com/embed/NqH3XHHdsO4;Paris;13ème arrondissement;48.831507,2.353092
Niska;rapper;https://en.wikipedia.org/wiki/Niska_(rapper);2013;1990-04-06;Stan Dinga Pinto, better known by the artistic name Niska, is a french rapper from Évry, Essonne.;;;https://www.youtube.com/embed/p-Ylj6ZUmtE;Évry;Champtier-du-Coq;48.636821,2.437588
Cormega;rapper;https://en.wikipedia.org/wiki/Cormega;1990;1970-04-26;Cory McKay (born April 26, 1970), better known by his stage name Cormega, is an American rapper and songwriter from Brooklyn, New York.;;;https://www.youtube.com/embed/z5nZtPz7F18;Brooklyn;;40.664684,-73.955178
Will Smith;rapper;https://en.wikipedia.org/wiki/Will_Smith;1985;1968-09-25;"Willard Carroll ""Will"" Smith Jr. (born September 25, 1968) is an American actor, producer, rapper, and songwriter from Philadelphia.";;;https://www.youtube.com/embed/3JcmQONgXJM;Philadelphia;Wynnefield;39.995682,-75.2456616
Devin the Dude;rapper;https://en.wikipedia.org/wiki/Devin_the_Dude;1992;1970-06-04;Devin Copeland (born June 4, 1970), better known by his stage name Devin the Dude, is an American hip hop recording artist from Houston, Texas. He is perhaps best known for his unique rapping style, his long career signed to Rap-A-Lot Records.;;;https://www.youtube.com/embed/owJQsyPg10c;Houston;;29.761053,-95.406208
Mannie Fresh;"producer;rapper";https://en.wikipedia.org/wiki/Mannie_Fresh;1987;1969-03-20;Byron O. Thomas, professionally known by his stage name Mannie Fresh is an American rapper, record producer and DJ who is best known for his work with Cash Money Records from 1993 to 2005 and one half of the hip hop duo Big Tymers.;;;https://www.youtube.com/embed/dp9ch-dAKk0;New Orleans;;29.949158,-90.1183
Kid Cudi;"rapper;singer";https://en.wikipedia.org/wiki/Kid_Cudi;2003;1984-01-30;Scott Ramon Seguro Mescudi (born January 30, 1984), better known by his stage name Kid Cudi, is an American recording artist and actor from Cleveland, Ohio.;;;https://www.youtube.com/embed/FmvU3urYQgI;Cleveland;Shaker Heights;41.476389,-81.551667
