,Title,Album,Artist,Release_Date,City,State,County,Country,Lyrics
57,Tired of Being Alone,Al Green Gets Next to You,Al Green,1995-09-26,Forrest City,I’m so tired of being alone,I’m so tired of on-my-own,Won’t...,
58,How Can You Mend A Broken Heart?,Let’s Stay Together,Al Green,1997-12-02,Forrest City,I can think of younger days when living for my life,Was eve...,,
59,Rhymin' Skills,To Tha Rescue,D Nice,1991-06-07,New York,[Intro: KRS-One],Come now,"Yes, now everyone comes in and sa...",
60,Under Some Budda,Call Me D-Nice,D Nice,1990-05-18,New York,I meant to do that,Ha ha ha ha!,I was coolin' at a jam wit...,
61,Call Me D-Nice,Call Me D-Nice,D Nice,1990-05-18,New York,[Intro: D Nice (Sample)],"(My name is D Nice, my name is D N...",,
62,Independent Woman,Bad Sister,Roxanne Shanté,1989-02-16,New York,[Verse 1],"Ladies listen up, I really hope you're ready",Caus...,
63,Roxanne's Revenge,Def Mix Vol. 1,Roxanne Shanté,1985-01-01,New York,[Verse],"Well, my name is Roxanne, a-don't ya know",I just a-...,
64,My Groove Gets Better,Bad Sister,Roxanne Shanté,1989-02-16,New York,[Hook],My groove gets better and better now don't it?,My gr...,
65,Glaciers of Ice,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Intro]
66,Wisdom Body,Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,[Intro]
67,North Star (Jewels),Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,"[Intro: Raekwon, talking to Popa Wu]"
68,Shark Niggas (Biters),Only Built 4 Cuban Linx…,Raekwon,1995-08-01,New York,New York,Richmond,USA,"Niggas is fucking crazy, you know what I'm saying?"
69,Killing Me Softly: Deadly Code of Silence,360 Degrees of Power,Sister Souljah,1992-06-30,New York,[Intro],"""The First Amendment specifies specifically that Co...",,
70,25 Ta Life,To Tha Rescue,D Nice,1991-06-07,New York,"It was a hot summer day, I was dyin from the heat",Walkin up...,,
71,To Tha Rescue,To Tha Rescue,D Nice,1991-06-07,New York,[Sample],(Let's go),[Intro: D Nice],Chorus
72,I'm Gettin Money,Thug Life Vol. 2 (Unused Thug Life Tracks),2Pac,1994-01-01,New York,California,Marin,USA,[Intro]
73,Lung Collapsing Lyrics,Now They Wanna See Me,Percee P,1992-01-01,New York,(Intro),"[Eh yo, Perc] eh, yo, what's up?","[Eh yo, kick some ...",
74,Puttin' Heads To Bed,Now They Wanna See Me,Percee P,1992-01-01,New York,(Verse 1),Percee P your highness,Raps finest and imma prove...,
75,The Aftermath,Free,Prince Markie Dee,1992-04-13,New York,{*singing*},I'll make you.. soooooo.. so very happy..,Soooo...,
76,Trilogy of Love,Free,Prince Markie Dee,1992-04-13,New York,[Talking: Prince Markie Dee],Y'all I don't know what to do,...,
77,So Very Happy,Free,Prince Markie Dee,1992-04-13,New York,"Mmm, yeah",Here we go,Hey baby.. don't you know what I can d...,
78,Typical Reasons (Swing My Way),Free,Prince Markie Dee,1992-04-13,New York,Verse One: (Markie Dee),One minute you're so fly and now y...,,
79,Back to Brooklyn,Free,Prince Markie Dee,1992-04-13,New York,"{*scratching: ""Born and raised in the streets of Brooklyn""*...",,,
80,Ghetto Bound,Free,Prince Markie Dee,1992-04-13,New York,"Yeah.. Mark, Mark, Mark the Shark",Here we go.. pay attentio...,,
81,Tell Me That You Want It,Love Daddy,Prince Markie Dee,1995-01-01,New York,Chorus One:  (Onome),Tell me that you want it,Say that you...,
82,Another Day,Strictly Platinum,Princess Superstar,1996-03-01,New York,Sittin here chillin with my Cream o Wheat,I got Dearfoam sl...,,
83,I'm White,Strictly Platinum,Princess Superstar,1996-03-01,New York,I'm white and I'm from Pennsylvania,I don't have no gold an...,,
84,Smooth,Strictly Platinum,Princess Superstar,1996-03-01,New York,You know we were eatin' dinner at the Red Lobster the other...,,,
85,I'm So,Strictly Platinum,Princess Superstar,1996-03-01,New York,Woke up one morning I was really depressed,That kinda day w...,,
86,CEO,CEO,Princess Superstar,1997-10-30,New York,[Verse One],I'm at the top and there's nowhere else to go,Y...,
87,Bitch With a Perm,Bitch With a Perm,Tim Dog,1994-10-27,New York,With so many Gs in the industry,I'm being sweated by this s...,,
88,Bitch With a Perm (Rottweiler Mix),Bitch With a Perm,Tim Dog,1994-10-27,New York,Artist: Tim Dog,Album: Bitch With a Perm,Song: Bitch With a...,
89,Back to Reality,Intelligent Hoodlum,Tragedy Khadafi,1990-07-10,New York,Back to reality,[VERSE 1],"I know you're dreamin, dreamin ...",
90,Intelligent Hoodlum,Intelligent Hoodlum,Tragedy Khadafi,1990-07-10,New York,(Now we can look into the cells of our own brain,And if we ...,,
91,Trag Invasion,Intelligent Hoodlum,Tragedy Khadafi,1990-07-10,New York,(Do it!),(Fatal),[ INTRO ],I'm fantastic when things get ...
92,Keep Striving,Intelligent Hoodlum,Tragedy Khadafi,1990-07-10,New York,[ Flex ],Keep on strivin,Keep on strivin,On
93,Street Life,Tragedy: Saga of a Hoodlum,Tragedy Khadafi,1993-06-22,New York,A baby has a baby and she's wonderin how and,Gotta take car...,,
94,I Ain't Having It,Penicillin on Wax,Tim Dog,1991-11-12,New York,[Intro- Dialogue: Tim Dog],Awe yea,We about to rip this shi...,
95,Make Room,Do or Die,Tim Dog,1993-04-20,New York,Artist: Tim Dog,Album:  Do or Die,Song:   Make Room,[ring]...
96,If I Was a Cop,Do or Die,Tim Dog,1993-04-20,New York,I don't give a fuck about the nigga sellin' crack,All I kno...,,
97,WNYU 89.1 X-Mas Freestyle 12/23/1999,I Need Drugs,Necro,1998-01-01,New York,[Intro],"Yo, it's Scrooge... Scrooge",Scrooge is up in here.....,
98,Protect Ya Neck II the Zoo,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Intro: Ol' Dirty Bastard]
99,Shimmy Shimmy Ya (extended version),Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,Intro:
100,Brooklyn Zoo (Clean LP Version),Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Intro]
101,Damage,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,[Intro]
102,Shimmy Shimmy Ya (Studio Ton Remix),Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,* - clean version is the only version that exists
103,Snakes,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,1995-03-28,New York,New York,New York,USA,"Now number two, practiced the snake style"
104,Deadly Rhymes,The Bitch is Back,Roxanne Shanté,1992-09-26,New York,[Kool G Rap],Deadly rhymes the pages of rage strikes again,...,
105,Sexy Style,Def Mix Vol. 1,Roxanne Shanté,1985-01-01,New York,[Verse 1],What you gonna do?,Let me shine a light on you,Le...
106,Shanté Gets Wicked,The Bitch is Back,Roxanne Shanté,1992-09-26,New York,"(""Let me tell you somethin'"")","(""Shanté's performin' and it'...",,
107,Where's The Beat,Def Mix Vol. 1,Roxanne Shanté,1985-01-01,New York,Instrumental,            ,          ,        ...
108,Runaway,Def Mix Vol. 1,Roxanne Shanté,1985-01-01,New York,[Verse 1],"It's a story, I came to say",To tell you just abou...,
109,Love Emergency,Def Mix Vol. 1,Roxanne Shanté,1985-01-01,New York,[Verse 1],You called me on the phone tonight,The things you...,
110,To The Other MC's,Def Mix Vol. 1,Roxanne Shanté,1985-01-01,New York,We take control of your body and weaken your mind,Teach eve...,,
111,DJ Cuttin',Def Mix Vol. 1,Roxanne Shanté,1985-01-01,New York,DJ's cuttin',[Instrumental],            ,          
112,Freestyle #18,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,Intro:,Yeah you kow what time it is,A-yo Mega Montana dram...,
113,Freestyle #5,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,Intro: Pretty Boy (Foxy Brown),Yo (uh huh),Don Pooh (yeah)...,
114,Kaotic Style - Freestyle,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,"Yeah, Kaotic in the house!","(That's that shit, that's that s...",,
115,Ain't No Nigga,Reasonable Doubt,Mary J. Blige,1998-01-01,New York,[Produced by Big Jaz],[Verse 1: Jay-Z],Fox Brown..,"Yeah, J..."
116,Freestyle #7,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,Whoooooh!,"""Pointed at your temple with the intent to kill"" ...",,
117,Freestyle #4,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,Yo Funk Flex,What the fuck is the dealy my niggee,This is N...,
118,Freestyle #1,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,"Yeah y'all this Jay-Z, coolin out with the Funk Flex",60 Min...,,
119,Das EFX Freestyle,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,[Verse One: Drayz],"Ayo bust the new layout, shit's way out ...",,
120,Freestyle #2,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,"Mmm, mmm-mmm","Check it out, the Queen Bee",That's me,My man F...
121,Freestyle #11,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,"*continues after end of ""Follow Me""*",[Starang],Yo yo yo yo...,
122,Freestyle #13,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,[Funkmaster Flex],"Yeah, you know I had to get Bad Boy up on...",,
123,Freestyle #9,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,"(feat. Keith Murray, Redman)",[Keith Murray],[Funkmaster Fl...,
124,Freestyle #8,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,[Funkmaster Flex],"Yeah, big shout to my man Michelob",Big sh...,
125,Freestyle #15,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,Yo we represent Queens,[Mr. Cheeks],Yeah yeah,We have a ti...
126,Freestyle #14,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,[Puff Daddy],"Yo, check this out",I go by the name of Puff Da...,
127,Set It Off,The Mix Tape Volume II: 60 Minutes of Funk,Mary J. Blige,1997-06-27,New York,Check me out baby,Check me out,Check me out,Just check me ...
128,Whoop! Whoop!,Bad Newz Travels Fast,Mary J. Blige,1998-01-01,New York,[Verse 1: Kam],Goddamn that nigga Kam back on the scene,Wit...,
129,Keith Murray & Redman - Freestyle,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,(Keith Murray),"	[Funkmaster Flex cuts and scratches ""Live u...",,
130,Rasta T Freestyle,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,Funkmaster Flex Intro:,Aiight 60 minutes of funk. B-Side fl...,,
131,Redman & Method Man - Freestyle,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,(Redman),Microphone coming down when I have to tweak ya,(Br...,
132,Q-Tip - Freestyle,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,Open your eyes see the sight you never saw,Run your jibs to...,,
133,Busta Rhymes - Freestyle,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,(Busta Rhymes),"Yes y'all, in the parTY",I be Busta Rhymes y'...,
134,KRS-One Speech,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,Intro:,Yo what's up?,This is hip hop manifesting as the Bla...,
135,Fugees - Freestyle,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,"(Lauryn Hill) Yeah, we got Fugees up in here, haha!",(Wyclef...,,
136,Let's Be Specific,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,(Chorus),"One time, one time, one time",Styles kinda differen...,
137,Fat Joe & Punisher Freestyle,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,[Fat Joe],Power from the street lights made the place dark,...,
138,Erick Sermon - Freestyle,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,Oooooh!  Ah ah!  Word is bond,Erick Sermon and Funkmaster F...,,
139,Everyday & Everynight,The Mix Tape Volume 1: 60 Minutes of Funk,Mary J. Blige,1995-12-18,New York,[Funkmaster Flex],YouknowhatI'msayin?,60 Minutes of Funk Mi...,
140,Hip Hop Hooray,19 Naughty III,Mary J. Blige,1997-06-27,New York,[Intro: Vinnie & Treach]],Give it up for Naughty By Nature!...,,
141,Incarcerated Scarfaces,Only Built 4 Cuban Linx…,Mary J. Blige,1995-12-18,New York,[Skit],– He looks determined without being ruthless. Someth...,,
142,Just Don't Give a Fuck,Slim Shady EP,Pharoahe Monch,1998-01-01,New York,[Produced by Jeff Bass],[Intro: Frogg],Woah! A-get yo' han...,
143,Semi-Automatic Full Rap Metal Jacket,High School High (Music From and Inspired By the Motion Picture),Inspectah Deck,1996-09-10,New York,[Chorus: U-God],You can't hack the tactics,Of a semi-automa...,
144,Check Yourself,To Tha Rescue,D Nice,1991-06-07,New York,"[Intro: D Nice, (Too $hort)]",You know $hort,A lot of people...,
145,Straight From The Bronx,To Tha Rescue,D Nice,1991-06-07,New York,[Verse 1: D Nice],Well I'm known to wreck a mic like a prin...,,
146,Mommie's Angels,Unlady Like,Mia X,1997-06-24,New Orleans,[Kenya Miller],Angels!  Ooh ooh,Angels!  Ooh oh ooh angels,...
147,The Party Don't Stop,Unlady Like,Mia X,1997-06-24,New Orleans,[Mia X],I got the ghetto grooves guranteed to make your sho...,,
148,Bring Da Drama,Unlady Like,Mia X,1997-06-24,New Orleans,[Big Ed],"My initial's explosive (BOOM!), left my enemies' c...",,
149,All N's,Unlady Like,Mia X,1997-06-24,New Orleans,[Chorus 1],"All niggas buy for pussy, cried for pussy",Lied f...,
150,4ever TRU,Unlady Like,Mia X,1997-06-24,New Orleans,[Intro: Mia X],"1, 2, T-R-U, and Mia X, the biggest mamma",Cl...,
151,Ain't 2 Be Played Wit,Unlady Like,Mia X,1997-06-24,New Orleans,"What, what, what, what, what, what, what","Huh nigga, huh nig...",,
152,I Pitty U,Unlady Like,Mia X,1997-06-24,New Orleans,"Damn, this shit is cold",No matter how hard you try to come ...,,
153,You Don't Wanna Go 2 War,Unlady Like,Mia X,1997-06-24,New Orleans,[Intro: Master P],What's up all ya'll real soldiers? (Uuunn...,,
154,Mama's Family,Unlady Like,Mia X,1997-06-24,New Orleans,[Mia X],"I'm mama superior, bitches recognize",Don't a damn t...,
155,I'll Take Ya Man '97,Unlady Like,Mia X,1997-06-24,New Orleans,Mia X is back and I came to out rap,"You so, get out my face...",,
156,Much Love,I'm Bout It (Original Motion Picture Soundtrack),Mia X,1997-05-20,New Orleans,"Yo, this for all the thugs out there","Hustlin, strugglin",Eve...,
157,My Ghetto Heroes,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,[Master P]
158,Time to Check My Crackhouse,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,[Hook x 4]
159,Time For a 187,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,[Intro]
160,Sellin' Ice Cream,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,Chorus: [Mo B. Dick]
161,Bout That Drama,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,Silkk-Wassup fool?
162,1/2 on a Bag of Dank,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,[Intro]
163,"Bout It, Bout It II",Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,[Master P]
164,Back Up Off Me,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,"Uh, ah, da"
165,Never Ending Game,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,Check this out playas
166,Playa From Around The Way,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,That's right ya'll
167,Break 'Em Off Somethin',Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,[Intro: Master P]
168,No More Tears,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,-This goes out to my best friend
169,How G's Ride,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,[Master P talking]
170,Mr. Ice Cream Man,Ice Cream Man,Master P,1996-04-16,New Orleans,Louisiana,Plaquemines,USA,[Hook: Mia X + Mo B. Dick + (Master P)]
171,Dana You Can Bang Her,Get Away Clean,Master P,1991-02-12,New Orleans,Louisiana,Plaquemines,USA,[Master P talking]
172,Getaway Clean,Get Away Clean,Master P,1991-02-12,New Orleans,Louisiana,Plaquemines,USA,[Intro: Police Call]
173,Rollin' the Dice,Get Away Clean,Master P,1991-02-12,New Orleans,Louisiana,Plaquemines,USA,Sittin in the project tryin to get my game on
174,We Riders,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Intro]
175,Weed and Money,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Intro]
176,Pass Me Da Green,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Intro]
177,Eyes on Your Enemies,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Verse 1: Mia X]
178,I Miss My Homies,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Intro]
179,Come and Get Some,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,Oh a nigga wanna shoot at my set and miss me and then think...
180,Only Time Will Tell,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Master P]
181,Stop Hatin,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Chorus: Master P]
182,Throw Em Up,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Chorus: Master P]
183,Ghetto D,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,(*water bubbling*)
184,Captain Kirk,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Intro: Master P]
185,Gangstas Need Love,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,Master P- (talking)
186,"After Dollars, No Cents",Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Intro]
187,Make 'Em Say Uhh,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Intro]
188,Tryin 2 Do Something,Ghetto D,Master P,1997-04-24,New Orleans,Louisiana,Plaquemines,USA,[Intro: Master P]
189,How to Be a Playa,Def Jam's How to Be a Player Soundtrack,Master P,1997-08-05,New Orleans,Louisiana,Plaquemines,USA,[Master P]
190,Always Look a Man in the Eyes,The Ghettos Tryin' To Kill Me! (1997),Master P,1997-01-01,New Orleans,Louisiana,Plaquemines,USA,-If we was owned by the white folks it will be all good
